density_threshold,distance_threshold,umap_n_components,NMI,embedding
0.5652415514832976,0.8867907243800411,8,0.6364766050688413,BERT
0.6423898197489614,0.9330393958750826,8,0.6364766050688413,BERT
0.5400314089228748,0.8662040233927907,8,0.6364766050688413,BERT
0.6749621002554779,0.9957514319467182,8,0.6364766050688413,BERT
0.6000229779659385,0.9016563014489025,8,0.6364766050688413,BERT
0.5747664713515063,0.8490688744844972,8,0.6156708314202065,BERT
0.6292835317277532,0.9357927241863944,8,0.6364766050688413,BERT
0.5529852486798705,0.9688957538045104,8,0.6364766050688413,BERT
0.6813493019316852,0.8196893612274949,8,0.5937469202138436,BERT
0.5384043064704985,0.8779153116237115,2,0.6011769201814811,BERT
0.7003022956035742,0.884247643927923,8,0.6364766050688413,BERT
0.7490048198965051,0.9155099035543129,8,0.6364766050688413,BERT
0.6436431147872073,0.948047915092297,8,0.6364766050688413,BERT
0.701720986723979,0.8438269048493001,8,0.6156708314202065,BERT
0.6716362334314855,0.8941098903227215,8,0.6364766050688413,BERT
0.5913413111890455,0.9777820704316482,8,0.6364766050688413,BERT
0.6042090867830955,0.927150850363298,8,0.6364766050688413,BERT
0.6194519630819876,0.7832317328777477,4,0.5717992947113113,BERT
0.6582318348850219,0.807050534481948,8,0.5937469202138436,BERT
0.6914829019906585,0.8768601617853958,8,0.6364766050688413,BERT
0.6274580594147876,0.9553901933078975,8,0.6364766050688413,BERT
0.7223482776525508,0.9531348323195626,8,0.6364766050688413,BERT
0.5658117189283887,0.9061461630752379,8,0.6364766050688413,BERT
0.6322853448290217,0.9792519670437564,8,0.6364766050688413,BERT
0.6079111962516746,0.9263620241524567,8,0.6364766050688413,BERT
0.6565793517775202,0.8517206762546867,8,0.6156708314202065,BERT
0.6820493751148391,0.999861788918446,8,0.6364766050688413,BERT
0.5782489590269321,0.9049282296587974,8,0.6364766050688413,BERT
0.5258259430921423,0.9507783500228225,2,0.6011769201814811,BERT
0.48860346367713564,0.8350156266524872,8,0.6126224611523621,BERT
0.5255049668329898,0.9413611323423475,8,0.6364766050688413,BERT
0.5098147797403644,0.9778628805243066,8,0.6364766050688413,BERT
0.5513840356750745,0.8714952545944107,8,0.6364766050688413,BERT
0.6362234341012336,0.9242527805157817,8,0.6364766050688413,BERT
0.5845428295072258,0.9552658218306562,8,0.6364766050688413,BERT
0.6133456589410711,0.8973753079590171,8,0.6364766050688413,BERT
0.6669924931043024,0.9829707729326325,4,0.6242684884720754,BERT
0.5684779802617973,0.8790859008624463,8,0.6364766050688413,BERT
0.4788918554447461,0.9110694727474222,8,0.6364766050688413,BERT
0.5469638683614149,0.9337708159271721,8,0.6364766050688413,BERT
0.6537480384631045,0.8939805589547827,8,0.6364766050688413,BERT
0.7130292879345111,0.8612106905097437,8,0.6156708314202065,BERT
0.5995412304840708,0.9666410314907452,8,0.6364766050688413,BERT
0.7359790086161644,0.9419362654611158,8,0.6364766050688413,BERT
0.6886991368316573,0.9131266841788972,8,0.6364766050688413,BERT
0.6407200412552647,0.8293548331059202,8,0.5937469202138436,BERT
