n_clusters,epsilon,umap_n_components,NMI,embedding
4,0.6429252486353407,4,0.0,BERT
4,0.6063545505292647,4,0.0,BERT
4,0.27693382401990774,4,0.0,BERT
4,0.6229679705116434,4,0.0,BERT
4,0.30736964534953815,2,0.0,BERT
4,0.5044025451472893,16,0.0,BERT
4,0.2521935101715383,8,0.0,BERT
4,0.5875732010538356,16,0.0,BERT
4,0.6749704764656783,2,0.0,BERT
4,0.3663973847524968,4,0.0,BERT
4,0.20470541183579746,16,0.0,BERT
4,0.6429990691642866,16,0.0,BERT
4,0.2862815286859821,16,0.0,BERT
4,0.156017028795655,16,0.0,BERT
4,0.5570922645880821,16,0.0,BERT
4,0.10012853536357744,2,0.0,BERT
4,0.44284570659455824,16,0.0,BERT
4,0.4870822447315713,2,0.0,BERT
4,0.012440522730612368,8,0.0,BERT
4,0.12846576279826905,4,0.0,BERT
4,0.34133664366486816,2,0.0,BERT
4,0.319520102311344,2,0.0,BERT
4,0.8476457854047257,2,0.0,BERT
4,0.7311256299528351,2,0.0,BERT
4,0.38622954701601325,16,0.0,BERT
4,0.47272663674798976,2,0.0,BERT
4,0.4159610250899235,16,0.0,BERT
4,0.5209809277937183,8,0.0,BERT
4,0.29850945670936546,2,0.0,BERT
4,0.2807865087121286,4,0.0,word2vec
4,0.7560489578221816,2,0.0,word2vec
4,0.79722538150518,2,0.0,word2vec
4,0.4277388518415399,4,0.0,word2vec
4,0.09097010420263926,8,0.0,word2vec
4,0.5219607791011466,16,0.0,word2vec
4,0.2827819863538748,8,0.0,word2vec
4,0.6616855370627324,2,0.0,word2vec
4,0.9936855136471535,8,0.0,word2vec
4,0.7130962484355857,8,0.0,word2vec
4,0.04701982029510099,4,0.0,word2vec
4,0.29628340329854475,4,0.0,word2vec
4,0.5595020295200774,2,0.0,word2vec
4,0.8585626980515507,16,0.0,word2vec
4,0.36544144013050245,4,0.0,word2vec
4,0.2085282261280379,2,0.0,word2vec
4,0.47126681928180714,4,0.0,word2vec
4,0.5616886069396838,2,0.0,word2vec
4,0.1636050099892307,16,0.0,word2vec
4,0.3828797341178954,2,0.0,word2vec
4,0.6212246755412186,4,0.0,word2vec
4,0.7782432684110185,2,0.0,word2vec
4,0.8213214936663272,2,0.0,word2vec
4,0.6980876630189664,2,0.0,word2vec
4,0.9110872422305477,2,0.0,word2vec
4,0.7505979515085675,2,0.0,word2vec
4,0.6315252495874724,4,0.0,word2vec
4,0.7926421923210961,16,0.0,word2vec
4,0.8706526440663918,2,0.0,word2vec
4,0.44896942121686534,4,0.0,word2vec
4,0.7342515406270402,4,0.0,word2vec
4,0.42204713562866947,4,0.0,word2vec
4,0.500868587824497,4,0.0,word2vec
4,0.5459714955468169,8,0.0,word2vec
4,0.3204344369334189,4,0.0,word2vec
4,0.25617532956135636,16,0.0,word2vec
4,0.6502012307351919,8,0.0,word2vec
4,0.9843581501266204,2,0.0,word2vec
4,0.12832180398942145,4,0.0,word2vec
4,0.41576539399409296,8,0.0,word2vec
4,0.5932588768562496,2,0.0,word2vec
4,0.10434166450405036,8,0.0,word2vec
4,0.02174300218975289,8,0.0,word2vec
4,0.2430739613333409,8,0.0,word2vec
4,0.3227110258159134,8,0.0,word2vec
4,0.4854687541072019,4,0.0,word2vec
4,0.20201120125559624,2,0.0,word2vec
4,0.3715764732612169,16,0.0,word2vec
4,0.07710431395742012,4,0.0,word2vec
4,0.6915921498940113,8,0.0,word2vec
4,0.061514507362848775,2,0.0,word2vec
4,0.5241879606568758,16,0.0,word2vec
4,0.59403360555787,16,0.0,word2vec
4,0.29692215518747084,16,0.0,word2vec
4,0.6702742736751851,16,0.0,word2vec
4,0.46086818702648613,2,0.0,word2vec
4,0.18143151033826566,4,0.0,word2vec
4,0.13525862690746507,2,0.0,word2vec
4,0.33969656091621314,4,0.0,word2vec
4,0.2539106629752552,16,0.0,word2vec
4,0.7346963211130312,2,0.0,word2vec
4,0.40271741177310477,8,0.0,word2vec
4,0.3686924748612118,8,0.0,word2vec
4,0.44205068921435187,8,0.0,word2vec
4,0.5001996507699545,4,0.0,word2vec
4,0.21909188131648494,8,0.0,word2vec
4,0.282441063899944,2,0.0,word2vec
4,0.3909118802781981,4,0.0,word2vec
4,0.3503873028109613,8,0.0,word2vec
4,0.16174655332036864,2,0.0,word2vec
4,0.5353739354104797,16,0.0,word2vec
4,0.7788126495599245,2,0.0,word2vec
4,0.756749272225604,2,0.0,word2vec
4,0.7148058492231499,2,0.0,word2vec
4,0.47293584882283535,4,0.0,word2vec
4,0.8197979191289438,2,0.0,word2vec
4,0.43461999500743664,8,0.0,word2vec
4,0.5717876234438592,4,0.0,word2vec
4,0.6291379584121098,2,0.0,word2vec
4,0.5206999843137458,8,0.0,word2vec
4,0.29391573089733747,2,0.0,word2vec
4,0.8540649338954517,8,0.0,word2vec
4,0.9543443330688023,8,0.0,word2vec
4,0.6503976569752502,8,0.0,word2vec
4,0.903578804371644,16,0.0,word2vec
4,0.7968222027002192,4,0.0,word2vec
4,0.711696939374143,8,0.0,word2vec
4,0.40574281387142586,2,0.0,word2vec
4,0.6012073411255593,4,0.0,word2vec
4,0.5570741957939287,8,0.0,word2vec
4,0.6860840052883451,16,0.0,word2vec
4,0.6559251127916078,8,0.0,word2vec
4,0.7421399235767792,8,0.0,word2vec
4,0.7658787643240588,8,0.0,word2vec
4,0.7150471802998231,8,0.0,word2vec
4,0.42867940727838155,2,0.0,word2vec
4,0.38214696661367975,4,0.0,word2vec
4,0.6800270546045506,8,0.0,word2vec
