bandwidth,umap_n_components,NMI,embedding
0.9077178664950888,2,0.5636172209705017,BERT
0.7631434956224883,4,0.5128586706671177,BERT
0.8443499574211965,4,0.5282891159873068,BERT
0.8625628069447304,16,0.5405398186482846,BERT
0.9068725228824478,2,0.5636172209705017,BERT
0.9099749936472395,2,0.5633664100176141,BERT
0.816407177216532,2,0.5431135592528551,BERT
0.8674343501921733,2,0.5602415959915816,BERT
0.7942116135023591,4,0.5165767429469534,BERT
0.8655363881197883,2,0.5602454586824646,BERT
0.8180124761495614,4,0.5211612216827616,BERT
0.9097513398887745,8,0.5546228933707608,BERT
0.8769815664779286,4,0.5333640939076306,BERT
0.7400678456388762,2,0.52556305346387,BERT
0.909874696089366,2,0.5633664100176141,BERT
0.8679241456069711,2,0.5602415959915816,BERT
0.8299695601152202,2,0.5430139349661292,BERT
0.8791675390019082,2,0.5597793388295419,BERT
0.8286382795673102,4,0.5248295110380706,BERT
0.7957383022596501,2,0.5361178995236566,BERT
0.8844565241651391,16,0.5453139900710823,BERT
0.8463067064930992,4,0.5283882017845946,BERT
0.7693474716510582,2,0.5243313233424093,BERT
0.8828118047080662,4,0.545639756104638,BERT
0.9074890930532555,2,0.5636172209705017,BERT
0.9097731343392176,2,0.5633664100176141,BERT
0.8467055196651302,2,0.5602978873842211,BERT
0.804590374243997,2,0.5421734324427826,BERT
0.8828630014553486,2,0.559957377391742,BERT
0.8325005881904847,8,0.5320280398700891,BERT
0.8831015240663076,2,0.559957377391742,BERT
0.8568091463429238,4,0.5310271786244389,BERT
0.8159691420286573,2,0.5428762529859453,BERT
0.8945096011066759,16,0.5563756723915955,BERT
0.8990100048520434,2,0.5599033045606381,BERT
0.9065282636197202,2,0.5636172209705017,BERT
0.850274107036471,2,0.5603036901220317,BERT
0.8696565841550132,2,0.5602415959915817,BERT
0.7776854776071535,4,0.5171825291646001,BERT
0.8857214806178305,2,0.559957377391742,BERT
0.8370606245097443,2,0.5427749689469652,BERT
0.9087619141618097,4,0.5732917030338248,BERT
0.8601414566500288,4,0.5432480384682898,BERT
0.7918181771088655,4,0.5168396840588717,BERT
0.8961131122578501,4,0.5622632353409851,BERT
0.8711957223664849,4,0.5310842074898106,BERT
0.906171761988213,4,0.5673365238072321,BERT
0.9099995754648206,4,0.57323265429481,BERT
