perplexity,MinPts,probability,umap_n_components,NMI,embedding
22,4,0.9970679887171379,8,0.6437851548280594,BERT
24,7,0.9970634555280347,8,0.6293122097243788,BERT
23,3,0.9970735743314351,8,0.6502871924573216,BERT
27,16,0.9970664768937931,8,0.6286808886804007,BERT
25,5,0.997071464021689,8,0.6293122097243788,BERT
20,1,0.9970757990911191,8,0.6338902443654613,BERT
26,7,0.9970632579761488,8,0.6358591069898075,BERT
21,9,0.9970696527500984,8,0.6309895103943074,BERT
22,2,0.9970580629653749,2,0.6202478683908135,BERT
23,6,0.9970649382872407,8,0.6502871924573216,BERT
24,4,0.9970620555901033,8,0.6293122097243788,BERT
23,6,0.997065563069569,8,0.6502871924573216,BERT
22,5,0.9970688107585717,8,0.6437851548280594,BERT
1,6,0.9970722218977056,8,0.0,BERT
24,8,0.9970602309770213,8,0.6293122097243786,BERT
19,7,0.9970635410882167,8,0.6338902443654612,BERT
21,4,0.9970678560655989,8,0.6338902443654612,BERT
23,10,0.9970565441741329,4,0.6090834480882493,BERT
25,3,0.9970707257988781,16,0.6267667365499915,BERT
23,1,0.9970769209057894,8,0.6502871924573216,BERT
24,1,0.9970727786807222,8,0.6293122097243788,BERT
21,2,0.997066623016063,8,0.6338902443654612,BERT
22,3,0.9970615507589948,8,0.6437851548280594,BERT
23,5,0.997077447686506,8,0.6502871924573216,BERT
25,21,0.9970748014163364,8,0.622176493765568,BERT
22,4,0.9970653569243585,8,0.6437851548280594,BERT
24,2,0.9970704175655373,8,0.6293122097243788,BERT
20,6,0.9970792334181501,8,0.6338902443654612,BERT
23,7,0.9970683385067146,8,0.6502871924573216,BERT
24,6,0.9970663569369599,8,0.6293122097243788,BERT
23,5,0.9970648340644529,8,0.6502871924573216,BERT
22,8,0.9970631405106032,8,0.6431602238460615,BERT
23,4,0.997073402385284,8,0.6502871924573216,BERT
25,3,0.9970595234498435,8,0.6293122097243788,BERT
21,5,0.9970683503525257,2,0.609703979580574,BERT
26,6,0.9970672442139686,8,0.6358591069898075,BERT
23,9,0.9970699901447202,8,0.648117579243933,BERT
12,7,0.9970610350616921,8,0.5925414697200546,BERT
24,6,0.9970547921975109,4,0.6175806812838589,BERT
23,4,0.9970720570457792,8,0.6502871924573216,BERT
22,4,0.9970755556568325,8,0.6437851548280594,BERT
21,5,0.997064145639304,8,0.6338902443654612,BERT
24,3,0.99706649637391,8,0.6293122097243788,BERT
23,1,0.9970713646074243,8,0.6502871924573216,BERT
22,5,0.9970696554643032,16,0.6267667365499915,BERT
