min_cluster_size,min_samples,umap_n_components,NMI,embedding
171,54,4,0.670349823129438,BERT
146,102,4,0.6556336511562078,BERT
163,77,4,0.6828100116779068,BERT
178,59,8,0.6227826976771696,BERT
50,195,4,0.440528948282881,BERT
190,68,4,0.6617610695975871,BERT
150,79,4,0.6828100116779068,BERT
152,48,4,0.670349823129438,BERT
158,74,4,0.6636130254438168,BERT
164,93,4,0.6556336511562078,BERT
138,109,4,0.6556336511562078,BERT
184,88,4,0.6556336511562078,BERT
79,62,16,0.6458765088482467,BERT
172,78,2,0.6139555580018082,BERT
117,83,4,0.6269331201542936,BERT
147,66,4,0.6670954165138622,BERT
155,72,4,0.6828100116779068,BERT
177,72,4,0.6828100116779068,BERT
176,70,4,0.6828100116779068,BERT
162,76,4,0.6617610695975871,BERT
167,99,4,0.6556336511562078,BERT
180,57,4,0.670349823129438,BERT
192,84,4,0.656536709425839,BERT
170,62,4,0.670349823129438,BERT
186,78,8,0.6351900683296324,BERT
100,89,4,0.6252209744868108,BERT
161,73,4,0.6828100116779068,BERT
175,80,4,0.6828100116779068,BERT
165,69,4,0.6617610695975871,BERT
144,76,4,0.6617610695975871,BERT
157,85,4,0.6560800472663055,BERT
151,65,4,0.670349823129438,BERT
181,81,4,0.6574822906524617,BERT
172,67,2,0.6271271002392674,BERT
163,54,4,0.670349823129438,BERT
130,93,16,0.6299707215724163,BERT
153,78,4,0.6828100116779068,BERT
149,73,4,0.6828100116779068,BERT
159,78,4,0.6828100116779068,BERT
140,60,4,0.670349823129438,BERT
170,70,4,0.6828100116779068,BERT
167,87,4,0.6556336511562078,BERT
150,80,4,0.6828100116779068,BERT
156,76,4,0.6617610695975871,BERT
123,176,4,0.440528948282881,BERT
183,64,4,0.670349823129438,BERT
155,72,4,0.6828100116779068,BERT
146,72,4,0.6828100116779068,BERT
160,68,4,0.6617610695975871,BERT
176,83,4,0.6574822906524617,BERT
134,75,4,0.6617610695975871,BERT
154,90,8,0.6175366564924256,BERT
164,67,4,0.6629781687524824,BERT
187,80,4,0.6828100116779068,BERT
169,59,4,0.6828100116779068,BERT
178,72,4,0.6828100116779068,BERT
175,74,4,0.6636130254438168,BERT
179,71,4,0.6828100116779068,BERT
173,63,4,0.670349823129438,BERT
161,84,4,0.656536709425839,BERT
195,78,4,0.6828100116779068,BERT
149,68,2,0.6271271002392675,BERT
190,75,4,0.6617610695975871,BERT
166,86,16,0.6274943673917067,BERT
144,65,4,0.670349823129438,BERT
183,79,4,0.6828100116779068,BERT
177,71,4,0.6828100116779068,BERT
157,69,4,0.6617610695975871,BERT
173,75,4,0.6617610695975871,BERT
177,83,4,0.6574822906524617,BERT
170,71,4,0.6828100116779068,BERT
181,63,4,0.670349823129438,BERT
165,56,4,0.670349823129438,BERT
151,80,4,0.6828100116779068,BERT
162,76,4,0.6617610695975871,BERT
188,138,8,0.5858588812952736,BERT
160,70,4,0.6828100116779068,BERT
154,73,4,0.6828100116779068,BERT
174,67,4,0.6629781687524824,BERT
169,73,4,0.6828100116779068,BERT
157,61,4,0.670349823129438,BERT
185,81,4,0.6574822906524617,BERT
162,77,4,0.6828100116779068,BERT
148,66,4,0.6670954165138622,BERT
140,122,4,0.6550375263565695,BERT
167,85,4,0.6560800472663055,BERT
176,79,4,0.6828100116779068,BERT
179,74,4,0.6636130254438168,BERT
173,71,4,0.6828100116779068,BERT
182,81,4,0.6574822906524617,BERT
154,77,4,0.6828100116779068,BERT
171,68,2,0.6271271002392675,BERT
158,90,4,0.6556336511562078,BERT
165,149,16,0.3574582552610376,BERT
177,73,4,0.6828100116779068,BERT
151,82,4,0.6574822906524617,BERT
145,77,4,0.6828100116779068,BERT
153,87,4,0.6556336511562078,BERT
161,77,4,0.6828100116779068,BERT
168,70,4,0.6828100116779068,BERT
156,80,4,0.6828100116779068,BERT
185,66,4,0.6670954165138622,BERT
148,74,4,0.6636130254438168,BERT
174,84,4,0.656536709425839,BERT
181,62,4,0.670349823129438,BERT
152,71,4,0.6828100116779068,BERT
148,74,4,0.6636130254438168,BERT
36,78,4,0.6505269441043076,BERT
159,69,4,0.6617610695975871,BERT
141,72,4,0.6828100116779068,BERT
151,80,4,0.6828100116779068,BERT
163,75,4,0.6617610695975871,BERT
154,65,8,0.6351900683296324,BERT
136,77,4,0.6828100116779068,BERT
170,83,4,0.6574822906524617,BERT
