min_cluster_size,rho,beta,umap_n_components,NMI,embedding
9,1.2380350149887052,0.21471381933542427,16,0.37539613670888977,BERT
157,1.5572335578078307,0.19680858119617056,16,0.5643807467605928,BERT
173,1.4602338645623263,0.15509287937585162,16,0.6369009061814046,BERT
173,1.446096107763927,0.1647007714253821,16,0.6369009061814046,BERT
172,1.4032573523168859,0.16193094362839472,16,0.6370185653990165,BERT
150,1.409919115831691,0.1878336629551932,16,0.5874991557543136,BERT
171,1.4728106318529945,0.16445499022982416,16,0.6369009061814046,BERT
163,1.3524078522687124,0.16249646550481817,16,0.6220422374859272,BERT
173,1.4700526368745668,0.18104247747830365,16,0.6369009061814046,BERT
173,1.420040642568562,0.19997963187416898,16,0.6369009061814046,BERT
144,1.3015518577495497,0.14694045904460715,16,0.5874991557543136,BERT
171,1.4464153512269777,0.17779813700523706,16,0.6369009061814046,BERT
159,1.4267556465530313,0.18277617810927155,16,0.6211823093146653,BERT
171,1.4591806857654508,0.16182737923049162,16,0.6369009061814046,BERT
172,1.4428711761977913,0.19620959669233717,16,0.6369009061814046,BERT
152,1.3830520945096434,0.15843198031478695,16,0.5862097558734624,BERT
169,1.4812482484817104,0.1785389402004922,16,0.6369009061814046,BERT
62,1.5689905121713212,0.2044009013636816,16,0.48462451431642806,BERT
167,1.320537077859259,0.16526536931989433,16,0.6230990383285435,BERT
121,1.3929937583495393,0.14810666010050705,16,0.5608801565718845,BERT
161,1.5270611254422477,0.2232926847330783,16,0.636160750106003,BERT
173,1.4665549948645284,0.18221760148248628,16,0.6369009061814046,BERT
145,1.5799684156332436,0.16175030588687625,16,0.5837330510233691,BERT
172,1.40569653415267,0.19712983903211895,16,0.6370185653990165,BERT
180,1.4220084461578384,0.20819153711483604,16,0.6206099294683487,BERT
154,1.2576596648170546,0.17047212941328835,16,0.6160807733589618,BERT
173,1.339493444826957,0.19039634824769405,16,0.6234616716957317,BERT
178,1.4790384328732875,0.23667853297215624,16,0.6231008507691289,BERT
165,1.5353299404658884,0.20029194569037712,16,0.6115652177900666,BERT
168,1.3681040465657406,0.1418850709661323,16,0.6396133114691558,BERT
105,1.3832909354326535,0.14152330401489363,16,0.558658318366382,BERT
191,1.20422856959643,0.17855613314761506,4,0.6272594161379144,BERT
161,1.2991997025245912,0.15434624808180825,16,0.6159144698789097,BERT
170,1.4289769947419446,0.15454449413727017,16,0.6369009061814046,BERT
176,1.3719274182054364,0.13841388640375474,16,0.6191235875111017,BERT
181,1.4662379400113776,0.12436694196798388,16,0.6206099294683487,BERT
167,1.6302982546833913,0.1653508234633833,16,0.6152509962995673,BERT
157,1.5087257014530173,0.18427258597298335,8,0.5959324813573388,BERT
176,1.409657560840318,0.21679756381167867,16,0.6231008507691289,BERT
184,1.5860537365226135,0.1957465476242761,16,0.6191966191937376,BERT
171,1.3212743419797595,0.14369076302426778,16,0.6234616716957317,BERT
160,1.5261049808090543,0.1698346352257672,16,0.636160750106003,BERT
180,1.4557993583130666,0.2070888343291304,16,0.6206099294683487,BERT
172,1.4405252461870686,0.19547014099733992,16,0.6369009061814046,BERT
30,1.5589540390559251,0.18996478434339548,16,0.42550427841891764,BERT
165,1.3898716197167122,0.15346850607977122,16,0.6346675860188998,BERT
173,1.4902739453275078,0.12852829788242323,16,0.6369009061814046,BERT
169,1.3390143930906544,0.1782425605731731,16,0.6214681710320944,BERT
191,1.4508414373351468,0.16377080632697827,16,0.6230178856781383,BERT
176,1.3682982419007808,0.14102536910514119,4,0.6281365382500574,BERT
185,1.5962868719052496,0.1774772995961994,16,0.6214515947014021,BERT
182,1.4154578237255122,0.11091740124449678,16,0.6206099294683487,BERT
162,1.5054847013846338,0.20034775432492444,8,0.6071940917145981,BERT
171,1.503392185670994,0.17455699446395043,16,0.6369009061814046,BERT
167,1.4691690918324616,0.18958135982580043,16,0.6329402135073285,BERT
169,1.53250058899645,0.1523331664928434,16,0.6330245722062154,BERT
178,1.6337308919852154,0.21454233033203826,16,0.6206970299315686,BERT
152,1.4326497116377706,0.16243173515739157,16,0.5862097558734624,BERT
174,1.2818533566695198,0.23330402815620674,16,0.6234616716957317,BERT
165,1.566064463390859,0.17778097650373556,16,0.6135116448566783,BERT
155,1.3604283438557945,0.1873171513191505,16,0.5836576304406178,BERT
179,1.4697431194715,0.14689838177560433,16,0.6206099294683487,BERT
163,1.3290733385984024,0.12908586809216588,16,0.6220422374859272,BERT
174,1.4661396602721943,0.18181151656381783,16,0.6191235875111017,BERT
170,1.4269679621246687,0.20384525677731044,16,0.6369009061814046,BERT
83,1.3932733305883138,0.1688805449873592,16,0.5252697167566448,BERT
186,1.5429027299318143,0.1583693631219388,16,0.6198998063459106,BERT
158,1.6054500489709955,0.18371641626851667,16,0.5863672761095413,BERT
175,1.4950693007105507,0.21262520983851058,16,0.6231008507691289,BERT
171,1.411082173255778,0.1970909147014945,16,0.6370185653990165,BERT
168,1.4067121991538942,0.20191733016710567,16,0.6375045949345642,BERT
166,1.361756448045292,0.2260566963946367,4,0.6233458120359371,BERT
148,1.2974246833857699,0.24931912088401456,16,0.5838007211669012,BERT
169,1.4152690641293413,0.19648816729497676,16,0.6375045949345642,BERT
181,1.410495538916492,0.19674622644293055,16,0.6206099294683487,BERT
161,1.4015352557197143,0.2041358474668084,16,0.6159144698789097,BERT
170,1.4470889316922402,0.16802664544928977,16,0.6369009061814046,BERT
178,1.3393052799609095,0.1929379739881882,16,0.6206099294683487,BERT
174,1.2555146115852491,0.2163811145795758,16,0.6234616716957317,BERT
167,1.2218182053371356,0.15232474661650172,8,0.6427499700644664,BERT
165,1.1764499565689643,0.13620495739820696,8,0.6188610289249497,BERT
168,1.3683090183194806,0.14939733452101275,8,0.6188610289249497,BERT
160,1.3214004336431648,0.15943041706639755,16,0.6159144698789097,BERT
171,1.4180150675362486,0.1676198749242802,8,0.6423549021620436,BERT
177,1.4085353417025055,0.16821919822107842,8,0.5956243105141218,BERT
172,1.4933112175215708,0.144573988995076,8,0.6188610289249497,BERT
164,1.5288977037084324,0.1730915520762202,8,0.587824030463638,BERT
183,1.2795680130346128,0.15693810485937587,8,0.6272926040557901,BERT
168,1.3823224220559416,0.12605121498317248,8,0.6188610289249497,BERT
179,1.4463395827140977,0.1853540664689301,8,0.5963745676922723,BERT
172,1.3413990130142794,0.1146005450489309,8,0.6188610289249497,BERT
158,1.4085020446366292,0.14164575656095962,16,0.6211823093146653,BERT
