min_cluster_size,min_samples,umap_n_components,NMI,embedding
103,18,2,0.47550292794208565,word2vec
143,5,2,0.4911156730706171,word2vec
135,11,2,0.2789895207735213,word2vec
146,5,2,0.4911156730706171,word2vec
95,117,2,0.26497385978127563,word2vec
124,17,2,0.4753269740140664,word2vec
120,10,2,0.4861639644079972,word2vec
109,26,8,0.272277429197445,word2vec
139,21,2,0.4736650667937775,word2vec
115,9,2,0.48895392805199495,word2vec
161,16,2,0.27857489333496743,word2vec
145,5,2,0.4911156730706171,word2vec
152,5,2,0.4911156730706171,word2vec
167,11,2,0.2789895207735213,word2vec
99,10,2,0.4861639644079972,word2vec
141,16,2,0.27857489333496743,word2vec
130,22,2,0.4708956340696616,word2vec
86,28,2,0.26918700792195166,word2vec
150,5,4,0.2789040171548574,word2vec
107,9,2,0.48895392805199495,word2vec
113,33,2,0.27206737117810087,word2vec
146,15,2,0.47998885718419315,word2vec
159,5,2,0.4911156730706171,word2vec
142,8,2,0.48874175906915795,word2vec
165,21,2,0.2728720479015648,word2vec
127,12,2,0.482527296252638,word2vec
156,17,2,0.4753269740140664,word2vec
174,5,8,0.4454100526670849,word2vec
134,181,2,0.2517423225256231,word2vec
90,9,2,0.48895392805199495,word2vec
101,93,2,0.3683538456462135,word2vec
149,5,2,0.4911156730706171,word2vec
154,9,2,0.48895392805199495,word2vec
144,14,2,0.2776015455039375,word2vec
146,13,2,0.27978568411685373,word2vec
120,19,2,0.47596182925962166,word2vec
137,5,2,0.4911156730706171,word2vec
94,12,2,0.482527296252638,word2vec
132,74,4,0.25841336465425463,word2vec
103,17,2,0.4753269740140664,word2vec
170,26,2,0.2704392722238093,word2vec
152,5,2,0.4911156730706171,word2vec
145,8,2,0.48874175906915795,word2vec
137,9,2,0.48895392805199495,word2vec
163,5,2,0.4911156730706171,word2vec
156,14,2,0.2776015455039375,word2vec
109,11,2,0.48029752931319003,word2vec
142,21,8,0.44884440235793327,word2vec
149,16,2,0.27857489333496743,word2vec
183,8,2,0.48874175906915795,word2vec
97,12,16,0.4430204799849765,word2vec
158,5,2,0.4911156730706171,word2vec
160,8,2,0.48874175906915795,word2vec
153,5,2,0.4911156730706171,word2vec
105,19,2,0.47596182925962166,word2vec
147,12,2,0.482527296252638,word2vec
125,5,2,0.4911156730706171,word2vec
139,15,2,0.47998885718419315,word2vec
114,9,2,0.48895392805199495,word2vec
179,22,2,0.4708956340696616,word2vec
169,10,2,0.4861639644079972,word2vec
151,5,2,0.4911156730706171,word2vec
159,5,2,0.4911156730706171,word2vec
149,14,2,0.2776015455039375,word2vec
164,9,2,0.48895392805199495,word2vec
155,16,2,0.27857489333496743,word2vec
144,12,4,0.2752200203285833,word2vec
101,8,2,0.48874175906915795,word2vec
148,133,2,0.2646427475833876,word2vec
140,5,2,0.4911156730706171,word2vec
109,18,2,0.47550292794208565,word2vec
136,5,2,0.4911156730706171,word2vec
118,12,2,0.482527296252638,word2vec
131,8,2,0.48874175906915795,word2vec
138,5,2,0.4911156730706171,word2vec
144,11,2,0.2789895207735213,word2vec
152,15,8,0.4400852459407167,word2vec
89,8,2,0.48874175906915795,word2vec
148,11,2,0.2789895207735213,word2vec
123,19,16,0.27696314168134234,word2vec
135,5,2,0.4911156730706171,word2vec
153,5,2,0.4911156730706171,word2vec
160,8,2,0.48874175906915795,word2vec
152,13,2,0.27978568411685373,word2vec
157,9,2,0.48895392805199495,word2vec
144,113,2,0.2657907959593593,word2vec
96,5,2,0.4911156730706171,word2vec
148,16,2,0.27857489333496743,word2vec
139,11,2,0.2789895207735213,word2vec
112,14,2,0.2776015455039375,word2vec
127,9,2,0.48895392805199495,word2vec
162,5,2,0.4911156730706171,word2vec
164,5,2,0.4911156730706171,word2vec
158,9,2,0.48895392805199495,word2vec
154,12,2,0.482527296252638,word2vec
103,5,2,0.4911156730706171,word2vec
143,9,2,0.48895392805199495,word2vec
99,16,4,0.43768521694156715,word2vec
171,60,2,0.266367996941689,word2vec
92,5,2,0.4849171906968035,word2vec
165,165,2,0.24967428425470445,word2vec
158,5,2,0.4911156730706171,word2vec
162,9,2,0.48895392805199495,word2vec
150,12,2,0.482527296252638,word2vec
153,8,2,0.48874175906915795,word2vec
106,5,2,0.4911156730706171,word2vec
156,13,2,0.27978568411685373,word2vec
148,9,8,0.4389414907173615,word2vec
167,18,2,0.47550292794208565,word2vec
141,5,2,0.4911156730706171,word2vec
146,13,2,0.27978568411685373,word2vec
154,8,2,0.48874175906915795,word2vec
151,5,2,0.4911156730706171,word2vec
160,10,2,0.4861639644079972,word2vec
145,5,2,0.4911156730706171,word2vec
156,11,16,0.44318547168391403,word2vec
150,8,2,0.48874175906915795,word2vec
141,15,2,0.47998885718419315,word2vec
136,8,2,0.48874175906915795,word2vec
163,5,2,0.4911156730706171,word2vec
88,57,8,0.5368865831814067,tfidf
148,167,4,0.31207827082394024,tfidf
188,12,16,0.5365222771212977,tfidf
40,71,8,0.5127315529220476,tfidf
108,170,4,0.31361606280646775,tfidf
177,27,8,0.5384906425351248,tfidf
149,181,8,0.5308609630734338,tfidf
176,113,16,0.31190186520754615,tfidf
38,180,8,0.5511191828895461,tfidf
152,128,2,0.3678703987645457,tfidf
9,134,2,0.36512135697059495,tfidf
71,8,8,0.5284943385910778,tfidf
43,73,8,0.5101084572788327,tfidf
116,36,8,0.527258739081664,tfidf
16,92,8,0.5096502129739922,tfidf
47,152,8,0.555602693514915,tfidf
55,194,16,0.31099443242366115,tfidf
26,151,4,0.31255220119095906,tfidf
70,145,2,0.24422877536221566,tfidf
84,194,8,0.5250489729659075,tfidf
36,158,8,0.5559390879661331,tfidf
37,153,8,0.5536977367046457,tfidf
58,157,8,0.5365223766229437,tfidf
5,117,8,0.5330213882136975,tfidf
33,137,8,0.518443708723937,tfidf
54,98,8,0.5179329669403127,tfidf
23,161,4,0.3118313081096843,tfidf
73,119,16,0.5148532180231397,tfidf
97,144,2,0.24672966169701255,tfidf
87,181,8,0.5308609630734338,tfidf
51,111,8,0.5395236835970794,tfidf
38,178,8,0.5530903677352511,tfidf
25,173,8,0.5555644888441899,tfidf
15,163,8,0.5522307284006769,tfidf
25,152,8,0.555602693514915,tfidf
27,168,4,0.312490310482088,tfidf
16,131,8,0.5336888245334497,tfidf
124,168,16,0.3140843875576632,tfidf
64,145,8,0.5540569449351501,tfidf
46,80,8,0.5107596882477187,tfidf
28,175,4,0.3113647627833274,tfidf
66,148,8,0.5557342174979109,tfidf
79,186,8,0.5290196474299923,tfidf
63,124,8,0.5338534709802103,tfidf
47,141,8,0.520443606883357,tfidf
100,151,2,0.24050627210605033,tfidf
17,108,8,0.5335708114385725,tfidf
