min_samples,xi,umap_n_components,NMI,embedding
53,0.010389303188837124,2,0.31431872568948677,BERT
84,0.5467614443933861,8,0.0,BERT
57,0.04460468164136761,2,0.24929503081179313,BERT
68,0.10593516663319268,16,0.12184950278572676,BERT
35,0.013491254462108158,2,0.27710462217640425,BERT
49,0.04966606682859626,2,0.28614843106848536,BERT
50,0.053276782469935544,2,0.23084883120585048,BERT
77,0.14379643787852558,2,0.01818098208608857,BERT
88,0.09324827097478358,16,0.013617384664015724,BERT
60,0.03922667478207924,2,0.2974194004826036,BERT
95,0.1886486743666912,16,0.007380032125047516,BERT
62,0.12455961731194674,8,0.01984257384848539,BERT
71,0.20720198457024294,2,0.020369495140789774,BERT
74,0.03486576765199149,16,0.31614186976148495,BERT
75,0.033683737143905275,16,0.29994226211663233,BERT
54,0.07690470865735685,16,0.12188635447669917,BERT
74,0.03821552053442382,16,0.21761355436085567,BERT
83,0.08907835153688214,16,0.12491456657529557,BERT
63,0.04170381937538402,16,0.20132264915844278,BERT
40,0.12532726308776268,16,0.060203879542215205,BERT
91,0.034789532667332104,16,0.31783224628883217,BERT
90,0.07089364307576156,16,0.01750172872577993,BERT
105,0.15825807946328907,16,0.013617384664015724,BERT
118,0.10223252047225422,16,0.12540564046398872,BERT
78,0.02939724023872674,16,0.3194025746308397,BERT
78,0.0720114958953757,16,0.07167665920993055,BERT
93,0.042076522651566334,16,0.2760899002604767,BERT
74,0.026066119472252305,16,0.31614186976148495,BERT
73,0.027796484764355416,16,0.31939069014357957,BERT
71,0.029665492441220187,16,0.25138328253139713,BERT
82,0.07391190427445485,16,0.12491456657529557,BERT
75,0.11048237013631414,16,0.013617384664015724,BERT
54,0.1331033191424647,16,0.057066300238607676,BERT
70,0.010647603532004155,16,0.29864712236077645,BERT
190,0.011346704290719049,16,0.1762987676984206,BERT
71,0.032546959171643124,16,0.2561453677716723,BERT
177,0.06719775527931948,16,0.013993720863484646,BERT
79,0.029679048142971773,16,0.32028666721416027,BERT
80,0.08302672774902745,16,0.07167665920993055,BERT
85,0.032966466003362595,16,0.2725049903892169,BERT
105,0.0586342455269658,8,0.11965018580643205,BERT
99,0.10173775748231745,16,0.013617384664015724,BERT
88,0.03228306515873706,16,0.3020987318895332,BERT
89,0.055989907744436795,16,0.18230249683302174,BERT
46,0.030589992528621577,16,0.32216409519032374,BERT
44,0.03021776176233818,16,0.3052248895000899,BERT
47,0.08556131522424393,16,0.1257891465526249,BERT
43,0.0605895593461976,16,0.24557409342446487,BERT
64,0.021861413950667943,16,0.31759856222418087,BERT
60,0.025759236231052647,4,0.269449005389833,BERT
39,0.12092936162482303,16,0.059052861518344296,BERT
