density_threshold,distance_threshold,umap_n_components,NMI,embedding
0.32662056185021937,0.18814471166826946,8,0.340477791113717,BERT
0.22862271694234051,0.24679247528523873,16,0.333385437742314,BERT
0.396122616987596,0.21392366311882002,2,0.32675211572468044,BERT
0.10178186144578452,0.2801539875338712,8,0.32339465737292744,BERT
0.2766494592254846,0.1731309756141876,4,0.3414467714668694,BERT
0.22931751756503263,0.22823467878219017,8,0.34467159281415094,BERT
0.24459353876679546,0.19784239823110913,8,0.33833390114754125,BERT
0.20475811894717633,0.24712479211175292,8,0.3460825763539079,BERT
0.2921153851322435,0.2633261434753038,8,0.3274485682496932,BERT
0.1760075728520909,0.2300233308082697,8,0.34418600517461806,BERT
0.14642252043353704,0.1441885021936631,16,0.3390091037144665,BERT
0.23559570485022796,0.2045391737209026,4,0.34575618069665803,BERT
0.26442097917154833,0.16497393052439238,8,0.33657890980178207,BERT
0.35575824675841233,0.3067710907812781,16,0.32900711566193047,BERT
0.3103393163796996,0.27182808530424313,8,0.32413277850112615,BERT
0.40541139806172677,0.1884299327552055,16,0.3475971422675614,BERT
0.4206418366127528,0.182086766423612,16,0.3472045928555688,BERT
0.37225230571777645,0.21818699151330728,16,0.34239900676430945,BERT
0.4337779456124878,0.196413650092174,16,0.34528133730484056,BERT
0.39333909771851444,0.25177242148100804,16,0.3329934993999522,BERT
0.19823756761256706,0.23293119007131646,4,0.3312055508934185,BERT
0.21503866375033567,0.1342969239588555,16,0.3374982853156536,BERT
0.15939077598226398,0.1641509551922867,8,0.33639996451488396,BERT
0.458214002823997,0.18300771972723265,4,0.343256889745851,BERT
0.4116668540093238,0.06246427558288689,16,0.3342171241388708,BERT
0.48113753120987635,0.1889607653153767,16,0.3473325414063483,BERT
0.48257019963814096,0.2039242870865483,16,0.345700262223003,BERT
0.4403096676171473,0.2144902083333356,16,0.344426141737226,BERT
0.24677758231111788,0.23853076463193093,16,0.33476842562951714,BERT
0.40353699355553485,0.1572703465696466,16,0.33898951511193304,BERT
0.17681115766440306,0.18885557400530514,8,0.3389287578546037,BERT
0.5293526486974454,0.2211023775476457,4,0.34014603705009705,BERT
0.22173135259443738,0.11699679922571883,2,0.32749195713717794,BERT
0.2658747350029124,0.4870860092695229,16,0.3005276705330099,BERT
0.4781722898561094,0.2774369155728525,8,0.3242163673901688,BERT
0.4391971693513538,0.1788012178899308,16,0.34613265569169505,BERT
0.41780887616205076,0.1935569656440373,16,0.3446135836184207,BERT
0.38935042505968886,0.17636333805948756,16,0.3458513926305731,BERT
0.4243539816993079,0.14831760651336576,16,0.33903962124814563,BERT
0.5033710770961632,0.24359435694749354,16,0.3344561878069367,BERT
0.3801729603305233,0.21598876823732355,4,0.3461018994648064,BERT
0.34058526296630864,0.2611001008558151,16,0.3311200452759045,BERT
0.47000064957748894,0.1994702313232164,8,0.3390020989225531,BERT
0.2850590328115394,0.17143608389803758,4,0.3418710280077202,BERT
0.2446500274734057,0.22746635547768673,16,0.33946182577624434,BERT
0.4205278124375404,0.19948890093586905,16,0.3440717032973876,BERT
0.4556847279250609,0.18445551664167695,16,0.347201871071744,BERT
0.3989740516914281,0.13975513099461648,16,0.3384563623259507,BERT
0.4369375235584998,0.17003640377150928,16,0.34361570947994247,BERT
0.3628190050455819,0.24161435771556053,8,0.34754693457834795,BERT
0.3455361363128001,0.24458854681986705,8,0.34757086502927376,BERT
0.36113244739639766,0.24319468578887157,8,0.3477602309978719,BERT
0.35999853049117747,0.25762735982859947,8,0.3286578195632659,BERT
0.37213566946368276,0.27675811037487225,8,0.32413277850112615,BERT
0.326458413114834,0.24127822291297008,8,0.3474539321610574,BERT
0.3342572784386537,0.24142301884390188,8,0.3474539321610574,BERT
0.3275030004601096,0.30103703753695976,8,0.3252924311149727,BERT
0.3519343929438947,0.2343104017295191,8,0.34912830258766414,BERT
0.3484862459120791,0.24648372406470348,8,0.34679453523433534,BERT
0.31881821614186,0.2357292764465671,8,0.34713959857219684,BERT
0.36539961063761467,0.2797377055849896,8,0.32339465737292744,BERT
0.3407805603933396,0.26101648404294137,8,0.3286163912217461,BERT
0.3088640728185721,0.34437652314857037,8,0.32005901209792836,BERT
0.3556991881527594,0.2218839282597816,8,0.34325079164664674,BERT
0.6210123766514758,0.7317162849437373,2,0.4899332442674739,word2vec
0.060908436701051206,0.3096092439533885,16,0.44405384532795694,word2vec
0.9044343663877222,0.038913781694391546,16,0.3435387979952634,word2vec
0.05009265023960729,0.022600137497816624,2,0.3426578140182467,word2vec
0.20601335307176769,0.29589112896859093,4,0.4406283296209254,word2vec
0.01279357486009251,0.8892826564011123,2,0.5052522980255162,word2vec
0.9522578811498369,0.756435123340257,16,0.5055126631535163,word2vec
0.11120248004473242,0.7821303060716691,2,0.4899332442674739,word2vec
0.05196848256707187,0.6454164544884671,4,0.498186580257649,word2vec
0.15637338097758643,0.6670782562435136,16,0.5051007091320397,word2vec
0.9573139867523143,0.9999329989070795,8,0.5013352513534933,word2vec
0.3906909554732919,0.9182096780411816,8,0.48747035619657697,word2vec
0.6734502438692602,0.8818431011857428,2,0.5052522980255162,word2vec
0.3500074234889305,0.8459254288577609,16,0.5055126631535163,word2vec
0.3535145504591528,0.5844415008789013,16,0.5048608164658139,word2vec
0.8314815815564613,0.7828466581259165,16,0.5055126631535163,word2vec
0.9935568516703795,0.5168395962590547,16,0.5046136943623135,word2vec
0.5441416824615011,0.7766146374241388,16,0.5055126631535163,word2vec
0.7726846243862354,0.9918917031189759,16,0.5055126631535163,word2vec
0.4706856963149112,0.8341870659381269,4,0.497963698632613,word2vec
0.7318684646130235,0.6958141291808673,8,0.48757251081398995,word2vec
0.8489250221239814,0.8081170814057668,16,0.5055126631535163,word2vec
0.8413438793168053,0.730664153052851,16,0.5055126631535163,word2vec
0.9871152036840956,0.8511169231393318,16,0.5055126631535163,word2vec
0.8792829761760965,0.59366271599371,16,0.5046896237214658,word2vec
0.7827621858272005,0.9144713167905516,16,0.5055126631535163,word2vec
