bandwidth,umap_n_components,NMI,embedding
0.09468226649864038,16,0.33368475003151254,BERT
0.033527389715728724,16,0.3377836329839636,BERT
0.020448582734366408,16,0.3398176953785194,BERT
0.012973819890555294,16,0.3407032862727195,BERT
0.010793279117084525,16,0.34102508743693655,BERT
0.05734125938733383,16,0.3356899476206566,BERT
0.07557046287425281,16,0.3345214235081218,BERT
0.030447198686099068,16,0.3387884195121655,BERT
0.05124272703034244,16,0.33572122589418135,BERT
0.12220906440424864,16,0.33183832884701986,BERT
0.010033979560696913,2,0.3373951405295251,BERT
0.03560842267497536,16,0.3377308420484972,BERT
0.05367169347178265,16,0.3353199975190596,BERT
0.026991260282934137,16,0.3389474073120314,BERT
0.08665495319300105,2,0.31176763098457827,BERT
0.0662695703620254,16,0.33582445219678225,BERT
0.023602754995182208,16,0.33910010457451667,BERT
0.011806310660326702,8,0.3404789895427249,BERT
0.04459963513827535,8,0.33598637348398525,BERT
0.11081347062638397,8,0.3352872782406617,BERT
0.0776835185195593,8,0.33534530552906683,BERT
0.024572905674490855,8,0.33671865867930967,BERT
0.013021299969537962,8,0.3403507994408526,BERT
0.010165039235816221,8,0.34094130776881254,BERT
0.05068441606978337,8,0.33525116273070077,BERT
0.010173121937287217,8,0.34094130776881254,BERT
0.06783676384740231,8,0.3352873149834256,BERT
0.04593708911557113,8,0.33575668560523786,BERT
0.09097556340107378,8,0.3361129342779043,BERT
0.02887447775341496,8,0.3372188732095069,BERT
0.06208806424881232,8,0.33501336373636315,BERT
0.016659380437628758,8,0.33909160028709534,BERT
0.01251059107347009,8,0.3404010517330269,BERT
0.04239781040993239,8,0.33641892491210995,BERT
0.010923330266444436,8,0.3407345606575958,BERT
0.03540128340135451,8,0.33686794921675667,BERT
0.010730672538131739,8,0.34079327944059884,BERT
0.05536989852898868,8,0.33494590013415326,BERT
0.08501241318102046,8,0.3361796822838096,BERT
0.35673075469347193,8,0.33413689818737335,BERT
0.010057782601962727,16,0.3413759003800283,BERT
0.03543328513239098,16,0.3376631521354228,BERT
0.010068250570642803,16,0.3413759003800283,BERT
0.0100443482596163,16,0.3413759003800283,BERT
0.049784833106449884,16,0.3359826300158197,BERT
0.029145298997691724,16,0.3387168672828068,BERT
0.064761984548626,16,0.33547993661380415,BERT
0.03236539300902652,16,0.33817065101121574,BERT
0.2368136643945684,16,0.32524575816297513,BERT
0.01071339366710906,16,0.34102508743693655,BERT
0.07007528449468674,16,0.3357554439684949,BERT
0.011199795318213909,16,0.34102881188095063,BERT
0.04622057748331886,16,0.33683098299032027,BERT
0.010667156736713855,16,0.34102508743693655,BERT
0.029273405233911122,16,0.3387370826767147,BERT
0.04844168221869158,16,0.3362474727535114,BERT
0.010869002671327304,16,0.34102881188095063,BERT
