n_clusters,epsilon,umap_n_components,NMI,embedding
4,0.054721610521791704,4,0.0,BERT
4,0.7828203360619235,4,0.0,BERT
4,0.749804899589693,16,0.0,BERT
4,0.8149458659562945,8,0.0,BERT
4,0.3689348647749263,4,0.0,BERT
4,0.14177929294585614,16,0.0,BERT
4,0.7094968153209814,2,0.0,BERT
4,0.9376058821131509,16,0.0,BERT
4,0.5494752723357745,16,0.0,BERT
4,0.5996092398460564,16,0.0,BERT
4,0.5163788918330381,16,0.0,BERT
4,0.5782286202789327,16,0.0,BERT
4,0.47965493347600935,8,0.0,BERT
4,0.6241211286701637,16,0.0,BERT
4,0.8634551294075481,4,0.0,BERT
4,0.6559495869486672,16,0.0,BERT
4,0.5313543371499768,2,0.0,BERT
4,0.9542509799480358,8,0.0,word2vec
4,0.8404248498383339,16,0.0,word2vec
4,0.3619250561442677,8,0.0,word2vec
4,0.42075084507606086,4,0.0,word2vec
4,0.5552973375186304,2,0.0,word2vec
4,0.845632815792671,16,0.0,word2vec
4,0.4836644090909551,16,0.0,word2vec
4,0.372880481962594,4,0.0,word2vec
4,0.050520271876117566,2,0.0,word2vec
4,0.7644177966100456,2,0.0,word2vec
4,0.9758545969329755,8,0.0,word2vec
4,0.9826925072936235,16,0.0,word2vec
4,0.761845060042996,8,0.0,word2vec
4,0.8536134045399584,8,0.0,word2vec
4,0.6439143353353324,16,0.0,word2vec
4,0.9933291434794769,16,0.0,word2vec
4,0.8606118859283528,8,0.0,word2vec
4,0.615478336014546,4,0.0,word2vec
4,0.7345888337594871,16,0.0,word2vec
4,0.9098512289169153,8,0.0,word2vec
4,0.7184796120039898,16,0.0,word2vec
4,0.2728479588072469,8,0.0,word2vec
4,0.9232324801091518,8,0.0,word2vec
4,0.6400259586753385,8,0.0,word2vec
4,0.8084368290412339,8,0.0,word2vec
4,0.9094711961911519,8,0.0,word2vec
4,0.6842231931070596,4,0.0,word2vec
4,0.5590255732865888,2,0.0,word2vec
4,0.7989475058369294,8,0.0,word2vec
4,0.42825744034746027,4,0.0,word2vec
4,0.901559830481564,16,0.0,word2vec
4,0.5463688524501077,4,0.0,word2vec
4,0.3708083115810941,4,0.0,word2vec
4,0.4986205817556505,4,0.0,word2vec
4,0.25970172158625415,4,0.0,word2vec
4,0.8324948617646023,2,0.0,word2vec
4,0.4525462291474397,16,0.0,word2vec
4,0.37546806575457287,2,0.0,word2vec
4,0.5530965948130147,8,0.0,word2vec
4,0.9535961362793666,16,0.0,word2vec
4,0.7800386087766316,4,0.0,word2vec
4,0.9979589455968179,2,0.0,word2vec
4,0.8655924097057257,2,0.0,word2vec
4,0.6960055156916916,2,0.0,word2vec
4,0.5960074159497314,2,0.0,word2vec
4,0.7334369581000277,8,0.0,word2vec
4,0.8647702104948547,16,0.0,word2vec
4,0.9507659880503966,8,0.0,word2vec
4,0.7667306213539096,16,0.0,word2vec
4,0.6590435711903263,2,0.0,word2vec
4,0.8245838737516202,8,0.0,word2vec
4,0.8643530032582923,16,0.0,word2vec
4,0.9469384012617719,16,0.0,word2vec
4,0.7398835770895089,16,0.0,word2vec
4,0.8007902084878749,16,0.0,word2vec
4,0.9743940243891223,8,0.0,word2vec
4,0.902061804244191,4,0.0,word2vec
4,0.767183910493114,16,0.0,word2vec
4,0.6841313002144022,8,0.0,word2vec
4,0.8874118058757025,8,0.0,word2vec
4,0.9284616319564647,16,0.0,word2vec
4,0.49740776941547077,16,0.0,word2vec
4,0.9992670821615447,16,0.0,word2vec
4,0.839545412758697,16,0.0,word2vec
4,0.5989661397059929,4,0.0,word2vec
4,0.4673856143243018,16,0.0,word2vec
4,0.3687795718336787,8,0.0,word2vec
4,0.42189489566285243,2,0.0,word2vec
4,0.528964765165457,4,0.0,word2vec
4,0.6337417411516874,16,0.0,word2vec
4,0.8101428727366641,8,0.0,word2vec
4,0.3204579435718958,4,0.0,word2vec
4,0.46889590266717124,4,0.0,word2vec
4,0.42072682365549,4,0.0,word2vec
4,0.39298843736348305,4,0.0,word2vec
4,0.33470870329916885,2,0.0,word2vec
4,0.2581813739546267,4,0.0,word2vec
4,0.8814173618970146,8,0.0,word2vec
4,0.5745067866330229,16,0.0,word2vec
4,0.5215045125003306,2,0.0,word2vec
4,0.8416403313449086,4,0.0,word2vec
4,0.1061536939881354,2,0.0,word2vec
4,0.49115136226846173,2,0.0,word2vec
4,0.44506024769938546,2,0.0,word2vec
4,0.5409445949587643,2,0.0,word2vec
4,0.5704526022444855,8,0.0,word2vec
4,0.4805889561896336,16,0.0,word2vec
4,0.44964971759404765,2,0.0,word2vec
4,0.7137640635205772,8,0.0,word2vec
4,0.5185578583464951,16,0.0,word2vec
4,0.7862375727017041,4,0.0,word2vec
4,0.9243080233822064,2,0.0,word2vec
4,0.8837433258588578,2,0.0,word2vec
4,0.8375102728396017,2,0.0,word2vec
4,0.6600519667353374,2,0.0,word2vec
4,0.7421705472690306,16,0.0,word2vec
4,0.8039237707137451,8,0.0,word2vec
4,0.6090763115664645,16,0.0,word2vec
4,0.9767822580621535,2,0.0,word2vec
4,0.8598954533533679,8,0.0,word2vec
4,0.5083715259897172,4,0.0,word2vec
4,0.9589270188232942,8,0.0,word2vec
4,0.9230816791686075,8,0.0,word2vec
4,0.902682772227583,8,0.0,word2vec
4,0.8213077836757657,8,0.0,word2vec
4,0.9849703206536649,16,0.0,word2vec
4,0.9385277474041239,4,0.0,word2vec
4,0.9604883112291857,8,0.0,word2vec
4,0.7891046515614165,16,0.0,word2vec
4,0.3997896897250934,2,0.0,word2vec
4,0.8496395392679459,16,0.0,word2vec
4,0.9733709183200535,16,0.0,word2vec
4,0.9141942812452535,16,0.0,word2vec
4,0.9378637769950756,16,0.0,word2vec
4,0.876005655525267,4,0.0,word2vec
4,0.9945045150931074,16,0.0,word2vec
4,0.9033870879410691,8,0.0,word2vec
4,0.759142443257432,2,0.0,word2vec
4,0.9512559771154195,16,0.0,word2vec
4,0.4771992050342315,4,0.0,word2vec
4,0.8192101529713651,2,0.0,word2vec
4,0.43523098858069476,8,0.0,word2vec
4,0.6957328891169399,8,0.0,word2vec
4,0.7746523777397282,8,0.0,word2vec
4,0.45811612332839124,8,0.0,word2vec
4,0.7169322387250355,8,0.0,word2vec
4,0.8650054597394891,16,0.0,word2vec
4,0.8898313577855705,2,0.0,word2vec
4,0.7527743364099115,8,0.0,word2vec
4,0.7312444032804523,4,0.0,word2vec
4,0.795612580416081,16,0.0,word2vec
4,0.8412231563706809,8,0.0,word2vec
4,0.6308196282241871,8,0.0,word2vec
4,0.8236487348837975,8,0.0,word2vec
4,0.9218292110180817,8,0.0,word2vec
4,0.7747554546525617,2,0.0,word2vec
4,0.550573068264751,8,0.0,word2vec
4,0.5836869017649466,4,0.0,word2vec
4,0.662601151865893,16,0.0,word2vec
4,0.9996474614099835,2,0.0,word2vec
4,0.011368396875419462,8,0.0,word2vec
4,0.5350059525102346,16,0.0,word2vec
4,0.5619204016802068,16,0.0,word2vec
4,0.5882278683112422,16,0.0,word2vec
4,0.5041899142751338,16,0.0,word2vec
4,0.6196258448325105,16,0.0,word2vec
4,0.6733278692553998,4,0.0,word2vec
