min_samples,eps,umap_n_components,NMI,embedding
8,0.15652495961286686,8,0.27351004753717617,BERT
8,0.23513942674983962,8,0.31297855516227263,BERT
8,0.11750006550434759,8,0.20833615779873452,BERT
8,0.1827604032257733,8,0.30603034443352306,BERT
7,0.20509413628532047,8,0.31398184155223624,BERT
7,0.25618962757286723,8,0.25147490196870487,BERT
7,0.1349854551974674,8,0.24994459043775946,BERT
5,0.20556920020497338,8,0.30864547202495507,BERT
6,0.20476976274315212,8,0.31347969875563203,BERT
6,0.18065556380910303,8,0.31689185397065617,BERT
6,0.17156798811488322,8,0.31433741378733177,BERT
6,0.1496024866970083,8,0.2923224296597943,BERT
6,0.1677922485514372,8,0.31111729998138826,BERT
6,0.18019601642510105,8,0.3167884035070029,BERT
6,0.18125349327039242,8,0.3168400845766352,BERT
6,0.18359270056539304,2,0.2633067588019281,BERT
6,0.11836386219441668,4,0.2622496356380607,BERT
6,0.17572075273389284,8,0.31519381824650267,BERT
6,0.13789280734102968,8,0.2714812819833863,BERT
6,0.17742944231503427,8,0.31594120421833416,BERT
6,0.16307855977430383,8,0.30842702167468733,BERT
6,0.17840353347787954,8,0.3169999439858771,BERT
6,0.18573158017672517,8,0.31874845732634927,BERT
6,0.17605048122915629,8,0.3155848736928162,BERT
6,0.1791206126382537,8,0.315934047600691,BERT
6,0.14781393222363026,8,0.2910735036585373,BERT
6,0.17552726425468965,8,0.3157502798102486,BERT
6,0.18092446890609146,8,0.3168894065544986,BERT
6,0.17570735580344535,8,0.31519381824650267,BERT
6,0.1778675770526323,8,0.3167226941369968,BERT
6,0.16889076033444647,8,0.3128416376637852,BERT
6,0.13850296887728028,8,0.2734193341002619,BERT
6,0.115282449266188,8,0.24147523064696286,BERT
6,0.10132310803979071,8,0.21861650814953348,BERT
6,0.17856100583015502,8,0.31557565738344323,BERT
6,0.17878630754214264,8,0.315822566466714,BERT
6,0.18176030586378608,8,0.31721436419344023,BERT
6,0.1779276333014492,8,0.316744597753308,BERT
6,0.18162973225569268,8,0.31703211476876436,BERT
6,0.1599855224049551,8,0.30625311214205164,BERT
6,0.17619164216697725,8,0.31577096792650877,BERT
6,0.13140982494394748,8,0.2626792343098429,BERT
6,0.1496583623340124,8,0.2923224296597943,BERT
6,0.18645606988299396,8,0.3198468276673362,BERT
6,0.1870732949611679,2,0.26375855088884276,BERT
6,0.15375221275995393,8,0.2964329016338643,BERT
6,0.13131593343438236,8,0.2626792343098429,BERT
6,0.18520663420719716,8,0.3189964591935728,BERT
6,0.1869964338344141,8,0.31974976771607977,BERT
6,0.18791495366390945,8,0.3204130190083879,BERT
6,0.18781111861791863,8,0.3202814228432271,BERT
5,0.14843213879268988,8,0.30089862440021936,BERT
6,0.1884021012570595,8,0.32106223251575167,BERT
6,0.18973439033700307,8,0.32198653833023017,BERT
6,0.22952631676703955,4,0.3040407788593894,BERT
6,0.15902978044836694,8,0.3056199517377929,BERT
6,0.22398308795311064,8,0.3102302384773138,BERT
6,0.18783341919031243,8,0.3202814228432271,BERT
6,0.19104446175989517,8,0.3235161786503706,BERT
6,0.4231742083591872,8,0.04521706654310785,BERT
6,0.19117113099291802,8,0.3235161786503706,BERT
6,0.1956148767901303,8,0.32646916382095564,BERT
6,0.1952188296498951,8,0.32665199442348913,BERT
6,0.1926092520392868,8,0.32370159182425035,BERT
6,0.24157019631442977,8,0.26278648772250424,BERT
6,0.1922597114014182,8,0.3238063174499888,BERT
6,0.19482478436653855,8,0.3263618304892248,BERT
6,0.19457224305423573,8,0.3265842699547756,BERT
6,0.19487734150013664,8,0.3263618304892248,BERT
6,0.22358135252213301,8,0.31026452618558154,BERT
5,0.1988463491901401,8,0.3211252972938025,BERT
6,0.19816029963894632,8,0.3171146495605875,BERT
6,0.23309111239628272,8,0.3060108743136886,BERT
5,0.22447148151937915,8,0.26083873416552894,BERT
5,0.19592081743592166,8,0.32095441370982225,BERT
5,0.25385924893242084,8,0.22572794122136453,BERT
7,0.9643213600872715,16,0.0,word2vec
10,0.4788553352373739,2,0.013021774663673573,word2vec
9,0.7955701138703344,4,0.0,word2vec
6,0.238509187882975,4,0.413123107134165,word2vec
7,0.2435175993528561,2,0.27874470403605023,word2vec
6,0.8791632043676679,8,0.0,word2vec
8,0.5137328105307686,2,0.013021774663673573,word2vec
5,0.5879675064259128,2,0.013021774663673573,word2vec
7,0.6319792063782417,16,0.0015976140700349588,word2vec
7,0.16029368397852273,16,0.2543306096385251,word2vec
5,0.3025650193877366,4,0.4376523527311564,word2vec
5,0.2998023189366032,4,0.43706987744313786,word2vec
5,0.33343887219404666,4,0.4481163254975631,word2vec
5,0.39660512407554194,4,0.2768290963564205,word2vec
6,0.10798898316399932,4,0.19322752992747327,word2vec
5,0.3568623701225746,8,0.45385116048756735,word2vec
6,0.39953377139801305,8,0.46370821871746604,word2vec
6,0.43324844539513113,8,0.2786104843796228,word2vec
8,0.3901231810058722,8,0.45450388616975973,word2vec
8,0.6403927027409452,8,0.0007998823499069878,word2vec
10,0.44279140019851776,8,0.46425533148421605,word2vec
10,0.44218910344716317,8,0.46425533148421605,word2vec
10,0.48916959988920605,8,0.2796292378880244,word2vec
9,0.563592658913352,8,0.27968495946010535,word2vec
9,0.4563523482236646,8,0.27896037435133053,word2vec
10,0.41548212146075314,8,0.45622389359305965,word2vec
9,0.5239933755996014,8,0.28094788970701284,word2vec
10,0.6895223311913372,8,0.0007998823499069878,word2vec
10,0.4582254015897583,8,0.2798483163925964,word2vec
9,0.3706174755219365,16,0.4427274423924637,word2vec
8,0.5502121562072693,8,0.27968495946010535,word2vec
10,0.4196505401062722,8,0.4584394683534839,word2vec
10,0.45303296193853904,8,0.278072892169481,word2vec
10,0.49062455135040445,8,0.2796292378880244,word2vec
9,0.4107258125313486,8,0.4584566471784982,word2vec
9,0.3324247541295048,8,0.4162423917369797,word2vec
9,0.253745080710698,2,0.279328663112804,word2vec
9,0.38114984208395697,16,0.4487630509045205,word2vec
10,0.4703940044807984,8,0.2788166811185263,word2vec
6,0.5108556878000737,2,0.013021774663673573,word2vec
7,0.5862292897833176,8,0.2806601552622016,word2vec
10,0.42326972189793016,8,0.4593595498150584,word2vec
10,0.4377768770540456,8,0.4629671182663829,word2vec
10,0.5251257675291916,8,0.28130247797536584,word2vec
10,0.3502424457103651,8,0.425732595653645,word2vec
10,0.28448763482200456,16,0.411660071237752,word2vec
10,0.4337013317316243,2,0.013021774663673573,word2vec
8,0.3225707247622436,8,0.41140690090565013,word2vec
6,0.37268539285084934,8,0.4538627087192626,word2vec
10,0.48985014682413397,4,0.2811219620511194,word2vec
9,0.20459585300219882,8,0.320335667368067,word2vec
10,0.4115637596674838,8,0.4562673110670075,word2vec
9,0.39967866048515177,8,0.4535093813017139,word2vec
10,0.4251063588263139,8,0.46030349474794047,word2vec
10,0.44674648990281113,8,0.27509343773697137,word2vec
10,0.35053955566296746,8,0.425732595653645,word2vec
10,0.3116979807867821,8,0.4070775359267035,word2vec
7,0.4831554898136264,4,0.2816147017402473,word2vec
10,0.378335782923469,16,0.44076264436213886,word2vec
9,0.44911899307792447,8,0.27775161336749193,word2vec
6,0.5257598300328098,2,0.013021774663673573,word2vec
9,0.3991961421521509,8,0.45271045002834137,word2vec
10,0.4198005920285919,8,0.4584394683534839,word2vec
10,0.42841958814953207,8,0.46030349474794047,word2vec
10,0.4403033554462309,8,0.4629671182663829,word2vec
10,0.470735337137557,8,0.2788166811185263,word2vec
10,0.501715594839166,8,0.27900710686914015,word2vec
10,0.3519597004318437,8,0.4272963793268938,word2vec
5,0.4660319593320079,8,0.28044256669308903,word2vec
10,0.4321317769283702,4,0.27598109928356185,word2vec
9,0.5487513306293242,8,0.28030079742741654,word2vec
10,0.39136098660064844,8,0.4447890024057938,word2vec
10,0.4335781994808033,8,0.461723111824472,word2vec
10,0.43990236923521553,8,0.4629671182663829,word2vec
10,0.475925676963411,8,0.27858333210733643,word2vec
10,0.36741259583658614,8,0.43067760460262566,word2vec
9,0.4522031571914629,8,0.27775161336749193,word2vec
10,0.49980576172633784,16,0.27680794701722744,word2vec
10,0.40096421673810484,8,0.4517794331195024,word2vec
10,0.3333227343921359,2,0.2780497611941585,word2vec
9,0.4447566544273442,8,0.2770490249509674,word2vec
10,0.429475819160669,8,0.4606120009877889,word2vec
10,0.38501225256919425,8,0.4425879952003764,word2vec
10,0.4649858626754148,8,0.2788166811185263,word2vec
10,0.415253196317781,8,0.45622389359305965,word2vec
8,0.35796027732173885,8,0.44249600873333617,word2vec
10,0.43902572596670925,8,0.4629671182663829,word2vec
10,0.5194183049428595,8,0.28048007909493516,word2vec
7,0.44095947471562363,8,0.27833432863542773,word2vec
6,0.475234817338112,8,0.28035282523535204,word2vec
10,0.4971170764324458,4,0.2811219620511194,word2vec
10,0.4046299472115708,8,0.45393814683898326,word2vec
10,0.4319954429166098,8,0.4606120009877889,word2vec
10,0.3830254003637534,8,0.44230738820959814,word2vec
10,0.44583909231490887,8,0.46480041519212456,word2vec
10,0.455106416914456,8,0.278072892169481,word2vec
10,0.3678359465868875,16,0.4350170222568095,word2vec
10,0.4848942815562816,8,0.2796292378880244,word2vec
10,0.4078869729733646,8,0.45420466908770624,word2vec
10,0.4398176992418037,2,0.013021774663673573,word2vec
9,0.5353832287622745,8,0.28094788970701284,word2vec
10,0.42654673775167745,8,0.46030349474794047,word2vec
10,0.4555432004644583,8,0.27996708316721,word2vec
10,0.3953049289625839,8,0.4497408838771392,word2vec
10,0.4991309626660447,8,0.2796292378880244,word2vec
10,0.46843474425274756,8,0.2788166811185263,word2vec
10,0.4327114473842368,8,0.4606120009877889,word2vec
8,0.4147029252794965,8,0.46313620448336046,word2vec
8,0.3866680372536206,8,0.4509247304175198,word2vec
6,0.5117135425469668,8,0.280003735882822,word2vec
7,0.3435852699917886,8,0.43836086722097883,word2vec
10,0.416592383948554,8,0.4574114587617092,word2vec
10,0.44123659588370706,8,0.46425533148421605,word2vec
8,0.4818361965117465,8,0.2793344338876589,word2vec
5,0.4554545147937741,8,0.2805652494199901,word2vec
9,0.369026752429034,4,0.4538421281789124,word2vec
10,0.4120008553907691,8,0.4558799319689828,word2vec
10,0.4438106240425558,16,0.4638568219496038,word2vec
7,0.4684306370802645,16,0.2735554317414197,word2vec
10,0.4444447739977328,16,0.4638568219496038,word2vec
10,0.5082138033222982,16,0.27680794701722744,word2vec
10,0.4472824754227247,16,0.46436425479955706,word2vec
10,0.4463733005319965,16,0.46436425479955706,word2vec
10,0.48805388806811695,16,0.2745095054056677,word2vec
10,0.45480531230833965,16,0.4655102530089934,word2vec
10,0.3938434391122639,16,0.4492995445882614,word2vec
10,0.4571832512811787,16,0.4649557571583634,word2vec
10,0.46107524793641314,16,0.4663774320964978,word2vec
10,0.45826988074005015,16,0.4656239546025118,word2vec
10,0.46557370556771377,16,0.27346212329442304,word2vec
10,0.5380103983573525,16,0.27833990984634893,word2vec
10,0.45538605403099924,16,0.4649557571583634,word2vec
10,0.4841874890340554,16,0.2745095054056677,word2vec
10,0.4529697829687009,16,0.4655102530089934,word2vec
10,0.45884703252556774,16,0.46602635952979315,word2vec
10,0.4588204631928464,16,0.46602635952979315,word2vec
10,0.5162223563668468,16,0.27680794701722744,word2vec
10,0.49677944148001024,16,0.27680794701722744,word2vec
10,0.46260062615632774,16,0.4663774320964978,word2vec
10,0.46796015492221504,16,0.27346212329442304,word2vec
10,0.4805718448653218,16,0.2745095054056677,word2vec
10,0.46091781752163075,16,0.4663774320964978,word2vec
10,0.459556484712205,16,0.4669286741490443,word2vec
10,0.4589218333039066,16,0.46602635952979315,word2vec
10,0.46168582365070726,16,0.4663774320964978,word2vec
10,0.4980741477456517,16,0.27680794701722744,word2vec
10,0.5237795845142384,16,0.27680794701722744,word2vec
10,0.45802200599905596,16,0.4656239546025118,word2vec
10,0.5606361745474427,16,0.0020407504704843286,word2vec
10,0.4646361769285416,16,0.27346212329442304,word2vec
10,0.4816123405935886,16,0.2745095054056677,word2vec
10,0.4544832913787835,16,0.4655102530089934,word2vec
10,0.46345163002160733,16,0.4663774320964978,word2vec
10,0.5102690134629527,16,0.27680794701722744,word2vec
10,0.46696049465764355,16,0.27346212329442304,word2vec
10,0.4856096221500106,16,0.2745095054056677,word2vec
10,0.4624591637576725,16,0.4663774320964978,word2vec
10,0.4968773820073681,16,0.27680794701722744,word2vec
10,0.41886489444498437,16,0.4596073893809648,word2vec
10,0.5292752082020961,16,0.27781083393565187,word2vec
10,0.4712014875464583,16,0.2737854015121996,word2vec
10,0.46001300695358244,16,0.4669286741490443,word2vec
10,0.4631193957540095,16,0.4663774320964978,word2vec
10,0.42028238661520506,16,0.4617382321916399,word2vec
10,0.48208615153296297,16,0.2745095054056677,word2vec
10,0.4593942241419401,16,0.4669286741490443,word2vec
10,0.5131871660373937,16,0.27680794701722744,word2vec
10,0.4990697624093828,16,0.27680794701722744,word2vec
10,0.4217901005006847,16,0.4617382321916399,word2vec
10,0.47144606377551174,16,0.2737854015121996,word2vec
10,0.4284822793347627,16,0.4634249900607381,word2vec
