perplexity,MinPts,probability,umap_n_components,NMI,embedding
6,5,0.9970306904082334,8,0.05397471718216298,BERT
5,12,0.9970474840961963,8,0.26989615977330067,BERT
8,12,0.9970543904976183,8,0.09096901184149092,BERT
5,14,0.997047712212564,8,0.23317905304979758,BERT
2,20,0.9970578406278127,8,0.0,BERT
16,11,0.9970519922490978,2,0.026046879719302484,BERT
8,16,0.9970266015921591,8,0.18166236042150385,BERT
19,22,0.9970238099101632,16,0.030901673216437185,BERT
1,3,0.9970454143166694,8,0.0,BERT
3,9,0.9970392168031285,8,0.16716569954845317,BERT
5,6,0.9970332967699439,8,0.07331535499350976,BERT
4,8,0.9970321981614823,8,0.2731383126465211,BERT
7,10,0.997039416475137,8,0.06111745965983666,BERT
4,14,0.9970307306444689,8,0.057082511242152134,BERT
2,12,0.9970436011985666,4,0.0,BERT
9,2,0.9970127708176516,8,0.04527899366239854,BERT
6,8,0.9970174839509718,8,0.05876570583097783,BERT
4,4,0.9970047021651411,16,0.1480304959286452,BERT
1,10,0.9970466385371763,2,0.0,BERT
3,8,0.9970345017530926,8,0.21852597619296285,BERT
5,6,0.9970382263809447,8,0.07331535499350976,BERT
6,12,0.9970415491669972,8,0.20484500685185478,BERT
3,2,0.9970345495532803,8,0.2497111329674178,BERT
2,14,0.9970279322612766,8,0.0,BERT
7,4,0.9970434198887483,8,0.046156567157209456,BERT
4,7,0.9970300417993032,8,0.21861884673538093,BERT
2,11,0.9970514118637159,8,0.0,BERT
14,9,0.9970229957208964,8,0.042094158109703954,BERT
10,5,0.9970367788755222,4,0.045794389899714426,BERT
3,7,0.9970360325809983,8,0.26205025243022356,BERT
5,6,0.997032510881519,8,0.07331535499350976,BERT
4,8,0.9970448040445179,8,0.2731383126465211,BERT
4,10,0.997047721959232,8,0.2555488373022637,BERT
1,8,0.9970426150965498,8,0.0,BERT
7,2,0.9970498491970079,16,0.04548535158596892,BERT
6,16,0.9970403558675772,8,0.25365742507921324,BERT
2,1,0.9970450260471927,2,0.3056660869345897,BERT
2,1,0.9970442501147178,2,0.3056660869345897,BERT
2,1,0.9970447767612274,2,0.3056660869345897,BERT
2,1,0.9970449741678523,2,0.3056660869345897,BERT
2,1,0.9970450502070655,2,0.3056660869345897,BERT
2,1,0.9970411862120727,2,0.3056660869345897,BERT
2,1,0.9970412000808205,2,0.3056660869345897,BERT
1,1,0.9970453367835015,2,0.33636599925011496,BERT
1,1,0.9970455165618172,2,0.33636599925011496,BERT
1,3,0.9970460924348358,2,0.0,BERT
1,2,0.9970491794051944,2,0.17571164604458,BERT
2,1,0.9970442347556207,2,0.3056660869345897,BERT
1,1,0.9970518901691704,2,0.33636599925011496,BERT
1,1,0.997051880485125,2,0.33636599925011496,BERT
1,3,0.9970527215800792,2,0.0,BERT
3,2,0.9970499486796439,2,0.20133307908151535,BERT
2,1,0.9970551821738889,2,0.3057229639296703,BERT
