n_clusters,tsne_n_components,NMI,embedding
2,2,0.4210900482975656,word2vec
5,2,0.7995657004069958,word2vec
4,8,0.601183306183526,word2vec
5,2,0.7995657004069958,word2vec
5,2,0.7994557084396544,word2vec
5,2,0.7986749283934242,word2vec
5,2,0.7986749283934242,word2vec
5,2,0.7986749283934242,word2vec
5,2,0.7995657004069959,word2vec
6,16,0.47609922836214175,word2vec
5,2,0.7986749283934244,word2vec
5,2,0.7995657004069959,word2vec
5,4,0.7229417846733908,word2vec
6,2,0.7498123736696314,word2vec
5,2,0.7986749283934242,word2vec
5,2,0.7995657004069959,word2vec
5,2,0.7995657004069959,word2vec
5,2,0.8003464621645018,word2vec
5,2,0.7986749283934242,word2vec
5,2,0.798674928393424,word2vec
4,2,0.6924761505889843,word2vec
5,2,0.7986749283934242,word2vec
5,8,0.6465876024445886,word2vec
3,2,0.6297781711838538,word2vec
5,2,0.7986749283934242,word2vec
5,2,0.7995657004069959,word2vec
5,2,0.7986749283934242,word2vec
5,2,0.7986749283934244,word2vec
5,16,0.5414416640130589,word2vec
5,2,0.7986749283934242,word2vec
5,2,0.7986749283934242,word2vec
6,2,0.7492009781557466,word2vec
5,4,0.7236682812596609,word2vec
5,2,0.7986749283934242,word2vec
5,2,0.7995657004069958,word2vec
5,2,0.799565700406996,word2vec
5,2,0.7995657004069959,word2vec
5,2,0.7995657004069958,word2vec
5,2,0.7986749283934242,word2vec
5,2,0.7986749283934242,word2vec
5,2,0.7995657004069959,word2vec
4,2,0.6924761505889843,word2vec
5,2,0.7986749283934242,word2vec
5,8,0.6458103808281688,word2vec
5,2,0.7995657004069959,word2vec
5,2,0.7995657004069959,word2vec
5,2,0.7986749283934242,word2vec
5,2,0.7986749283934242,word2vec
5,2,0.7986749283934242,word2vec
5,16,0.5414416640130589,word2vec
5,2,0.7986749283934242,word2vec
5,2,0.7986749283934244,word2vec
5,2,0.7986749283934242,word2vec
5,4,0.7248651940933629,word2vec
5,2,0.7986749283934242,word2vec
5,2,0.7994557084396544,word2vec
5,2,0.7986749283934242,word2vec
5,2,0.7986749283934242,word2vec
5,2,0.7986749283934242,word2vec
5,2,0.7986749283934242,word2vec
5,2,0.7995657004069959,word2vec
5,2,0.799565700406996,word2vec
6,2,0.7485113893252194,word2vec
5,2,0.7986749283934242,word2vec
5,2,0.7995657004069958,word2vec
5,2,0.7986749283934242,word2vec
5,2,0.7986749283934242,word2vec
5,2,0.7986749283934242,word2vec
5,2,0.7986749283934242,word2vec
5,2,0.7995657004069959,word2vec
5,8,0.6454977025807084,word2vec
5,2,0.7995657004069959,word2vec
5,16,0.5414416640130589,word2vec
5,2,0.7986749283934242,word2vec
5,2,0.7995657004069959,word2vec
5,2,0.7986749283934242,word2vec
5,2,0.7986749283934242,word2vec
5,2,0.7986749283934242,word2vec
5,2,0.7986749283934242,word2vec
5,2,0.7986749283934242,word2vec
5,2,0.7994557084396543,word2vec
5,4,0.7234292943239459,word2vec
5,2,0.7986749283934242,word2vec
5,2,0.7986749283934242,word2vec
5,2,0.7995657004069958,word2vec
5,2,0.7986749283934242,word2vec
5,2,0.7995657004069959,word2vec
5,2,0.7986749283934242,word2vec
5,2,0.7995657004069959,word2vec
5,2,0.7995657004069959,word2vec
5,2,0.7986749283934244,word2vec
