min_samples,xi,tsne_n_components,NMI,embedding
90,0.036254470733929685,2,0.5517011392212782,BERT
89,0.03254928446288568,2,0.6256436550971736,BERT
105,0.06472807280492762,2,0.44259254181923324,BERT
82,0.0854860828392976,2,0.4168419996668289,BERT
73,0.03292039225714861,2,0.5891962627651933,BERT
102,0.05509428685319248,2,0.4092671920016742,BERT
78,0.07478495867055157,2,0.44155500059494834,BERT
92,0.028945092785902165,2,0.7187236203310681,BERT
90,0.047592145802807115,2,0.41539418679545126,BERT
83,0.023108574332685962,2,0.6038069366838817,BERT
92,0.031035038215993984,2,0.6231353663811628,BERT
107,0.06544194134025909,2,0.44204840828937986,BERT
100,0.09051625878114651,2,0.443269530236163,BERT
86,0.029144674494240817,2,0.5913279266182078,BERT
75,0.04606299561465632,2,0.4162081700400662,BERT
92,0.108230639935765,2,0.0,BERT
69,0.07918453423521114,2,0.4068332118803882,BERT
80,0.05715890828730502,2,0.4102844032399805,BERT
98,0.025365556242164862,2,0.7198010878471007,BERT
98,0.025700993758198037,2,0.7198010878471007,BERT
98,0.0428675311326108,2,0.41539418679545126,BERT
88,0.026074830652707447,2,0.7094812650073321,BERT
101,0.0668512985490773,2,0.4168419996668289,BERT
110,0.023808620871537886,2,0.7089648137358308,BERT
110,0.010512566187189314,2,0.7387732541738753,BERT
109,0.052191103551989144,2,0.41589911220657483,BERT
105,0.09063999963569211,2,0.443269530236163,BERT
113,0.010234193110861765,2,0.7428123449899384,BERT
114,0.014266899797264615,2,0.7465858147369453,BERT
115,0.016578564672400063,2,0.7422603069370594,BERT
120,0.01274114105657756,2,0.741597458121364,BERT
111,0.04573050614613899,2,0.4178733526795906,BERT
110,0.010188420509858376,2,0.7387732541738753,BERT
118,0.010129832789778373,2,0.6739118171180475,BERT
120,0.04815498649732779,2,0.48017590583636605,BERT
116,0.0745752585156187,2,0.41589911220657483,BERT
115,0.014295286712515669,2,0.6962255426072671,BERT
122,0.010734088964820386,2,0.6374359757627182,BERT
114,0.06356574632920324,2,0.41589911220657483,BERT
109,0.04369047265067648,2,0.4181817127728099,BERT
104,0.01019584837517631,2,0.7012656656784104,BERT
108,0.039538787054632714,2,0.4699075245480401,BERT
127,0.035787373243699634,2,0.41279723910543836,BERT
112,0.05804702803618534,2,0.41589911220657483,BERT
98,0.011131462164023623,2,0.5745737768370356,BERT
103,0.030382518124093164,2,0.7644086154633107,BERT
105,0.10186048080261245,2,0.443269530236163,BERT
96,0.07460967356341604,2,0.443269530236163,BERT
102,0.040726622723966335,2,0.5287585622451466,BERT
113,0.025927032825179372,2,0.48381833346606223,BERT
108,0.010221482212432409,2,0.6989784756768808,BERT
119,0.029771877451307445,2,0.48381833346606223,BERT
95,0.053565899088621666,2,0.40980111424993865,BERT
101,0.03507600093586544,2,0.5872123537568787,BERT
110,0.0600448641492114,2,0.41589911220657483,BERT
105,0.03157191153374635,2,0.7132579933191983,BERT
104,0.044217976541726246,2,0.4158508041071091,BERT
99,0.08396711606434148,2,0.443269530236163,BERT
95,0.12006216744191597,2,0.0,BERT
115,0.024584815959869742,2,0.4845538900922082,BERT
108,0.010724296472742107,2,0.6989784756768808,BERT
121,0.02653394262241627,2,0.4819070867132671,BERT
103,0.04598056898942915,2,0.4158508041071091,BERT
114,0.02734383728556278,2,0.4808997377258633,BERT
106,0.06768252228324892,2,0.44259254181923324,BERT
83,0.024828945334679317,2,0.6038069366838817,BERT
98,0.05280213255568457,2,0.4168419996668289,BERT
124,0.010065719044793798,2,0.7296889362515667,BERT
134,0.8568494392194498,16,0.0,word2vec
110,0.16803731460630927,4,0.0,word2vec
189,0.8423989220569388,8,0.0,word2vec
