min_samples,eps,tsne_n_components,NMI,embedding
5,0.9524288116316347,2,0.16434327372060606,BERT
5,0.903671888406192,2,0.13136964570766763,BERT
5,0.9647840538732693,8,0.0,BERT
5,0.9993875541194374,2,0.2044586688016513,BERT
5,0.9755206617588169,2,0.18371554671478713,BERT
5,0.9986553033613514,2,0.20409114788337784,BERT
5,0.9465020880890213,2,0.1639804234108033,BERT
5,0.9996653356427284,2,0.2044586688016513,BERT
5,0.9316212223243588,2,0.14931574759524452,BERT
5,0.9651595628940608,2,0.17556057340837883,BERT
5,0.9769101155201935,2,0.18371554671478713,BERT
5,0.9160081800013025,2,0.13881417385217565,BERT
5,0.9481657261761453,4,0.0,BERT
7,0.9806156672435018,2,0.04613427728901827,BERT
5,0.9960648332877642,2,0.20260365467635258,BERT
5,0.9634949906586133,2,0.17556057340837883,BERT
5,0.6213536564224753,2,0.022894299946283992,BERT
5,0.9994323522659655,2,0.2044586688016513,BERT
5,0.9991554854566963,16,0.0,BERT
5,0.9777792006095763,2,0.18448083337100696,BERT
8,0.9523728694983199,2,0.024088441527980845,BERT
5,0.9277646691184825,2,0.14844713022877568,BERT
5,0.9820214191111946,2,0.19027729955169484,BERT
6,0.9567609633311656,2,0.09194052726329598,BERT
5,0.9961194370715265,2,0.20260365467635258,BERT
5,0.9823581897830901,2,0.19027729955169484,BERT
5,0.9668702739367033,2,0.17632260262847452,BERT
5,0.9999043205895262,2,0.2044586688016513,BERT
5,0.939339449790039,2,0.15545047756150307,BERT
5,0.9993747805632819,2,0.2044586688016513,BERT
5,0.9644310095582844,2,0.17556057340837883,BERT
5,0.9785894070379326,2,0.18489034833136214,BERT
5,0.9988829549590476,8,0.0,BERT
5,0.871163995211559,2,0.12011579005962496,BERT
5,0.9790980640744964,2,0.18489034833136214,BERT
5,0.9990195114848546,2,0.2044586688016513,BERT
5,0.9995945238499699,2,0.2044586688016513,BERT
5,0.9476841681766953,2,0.1639804234108033,BERT
5,0.962947239975768,2,0.17556057340837883,BERT
5,0.4240985658657984,2,0.0,BERT
5,0.9789483862299662,2,0.18489034833136214,BERT
5,0.9393001956400078,2,0.15545047756150307,BERT
5,0.999359474251141,2,0.2044586688016513,BERT
5,0.9620995927849166,16,0.0,BERT
5,0.9987672226186056,2,0.20409114788337784,BERT
5,0.9809620501772832,2,0.18853538647929574,BERT
5,0.982705359436475,2,0.19103068188016728,BERT
5,0.9993091021796358,2,0.2044586688016513,BERT
5,0.9999852233291413,2,0.2044586688016513,BERT
5,0.9592102453077476,4,0.0,BERT
5,0.9733201891382336,2,0.1833467856479977,BERT
5,0.9218728486067399,2,0.14423177520389693,BERT
5,0.7527130710495837,2,0.0535756758522019,BERT
5,0.9539669739078763,2,0.16792443302725352,BERT
5,0.9998407114327612,2,0.2044586688016513,BERT
5,0.7286694690865152,2,0.05004893544997466,BERT
5,0.9823143493180562,2,0.19027729955169484,BERT
5,0.9855817397359918,2,0.19438588625009529,BERT
5,0.9986161223451994,2,0.20409114788337784,BERT
5,0.9999114740250398,2,0.2044586688016513,BERT
5,0.9676294279417962,2,0.17782898475504313,BERT
5,0.9419328516510094,2,0.1594765613303845,BERT
5,0.9678735680424928,2,0.17782898475504313,BERT
5,0.9826953757068756,8,0.0,BERT
5,0.9973089250812519,2,0.20260365467635258,BERT
5,0.998946063602308,2,0.20409114788337784,BERT
5,0.8200719591123944,2,0.08622481399061424,BERT
5,0.9793995301540981,2,0.18489034833136214,BERT
5,0.9570515686710627,2,0.16792443302725352,BERT
5,0.9812654131243006,2,0.19027729955169484,BERT
5,0.9992052736925029,2,0.2044586688016513,BERT
5,0.999817306218731,2,0.2044586688016513,BERT
5,0.9663027859158957,2,0.17590258149812407,BERT
5,0.9422420436529432,2,0.1594765613303845,BERT
5,0.9997989107210162,2,0.2044586688016513,BERT
5,0.9814073717470675,2,0.19027729955169484,BERT
5,0.9977729190742993,2,0.20409114788337784,BERT
5,0.9998133941266518,2,0.2044586688016513,BERT
8,0.968821638372403,2,0.024088441527980845,BERT
5,0.9996430229035628,2,0.2044586688016513,BERT
5,0.9809178324498463,2,0.18853538647929574,BERT
5,0.999858618244299,2,0.2044586688016513,BERT
5,0.7988596813801516,2,0.07393565481821239,BERT
10,0.21841404784266782,8,0.0,word2vec
5,0.11494482583153874,8,0.0,word2vec
10,0.38989400655965956,8,0.0,word2vec
10,0.998070016851785,2,0.0,word2vec
8,0.2143994436615833,4,0.0,word2vec
8,0.22604899872573644,16,0.0,word2vec
6,0.5884427149651539,8,0.0,word2vec
6,0.7087501187327411,2,0.031997841335189056,word2vec
7,0.4473050540917496,8,0.0,word2vec
8,0.8980277615048876,2,0.03583497114238727,word2vec
9,0.9614928077729333,2,0.0,word2vec
6,0.7847651918400237,2,0.06514297978934866,word2vec
7,0.8186345775279007,2,0.04764879065903979,word2vec
6,0.781133196512417,2,0.05925387000876226,word2vec
5,0.7864036412905758,4,0.0,word2vec
6,0.6424700953551339,16,0.0,word2vec
