perplexity,MinPts,probability,tsne_n_components,NMI,embedding
6,8,0.9970508288862509,16,0.0,word2vec
14,22,0.9970167735236619,2,0.4281565534933652,word2vec
29,30,0.9970762369377996,16,0.024492632438254818,word2vec
7,24,0.9970068620457564,4,0.20010448528468236,word2vec
20,30,0.9970336780330024,2,0.4265902326825013,word2vec
19,30,0.997028790649236,2,0.4265902326825013,word2vec
20,24,0.99702949278211,2,0.4265902326825013,word2vec
15,20,0.9970278479400652,2,0.4281565534933652,word2vec
14,20,0.9970210071187124,2,0.4281565534933652,word2vec
15,12,0.9970014214464776,2,0.4281565534933652,word2vec
25,20,0.997018118932167,2,0.0,word2vec
12,2,0.9970402458064698,8,0.002758874370474893,word2vec
17,26,0.9970230390648165,4,0.0008380032763368497,word2vec
23,18,0.9970369624631386,2,0.0,word2vec
1,14,0.9970122981971101,2,0.0,word2vec
14,21,0.9970227927257714,2,0.4281565534933652,word2vec
12,22,0.9970243823108434,2,0.4261037671190316,word2vec
17,27,0.9970134045260163,2,0.4281565534933652,word2vec
14,18,0.9970327798080586,2,0.4281565534933652,word2vec
10,18,0.9970015292927227,2,0.4248055552533101,word2vec
17,22,0.9970167212708285,16,0.0,word2vec
22,14,0.9970271192545009,4,0.0008380032763368497,word2vec
13,23,0.9970407754469998,8,0.1259469551273522,word2vec
16,27,0.997009647468749,2,0.4281565534933652,word2vec
8,20,0.9970199927035225,2,0.4975563467540694,word2vec
10,19,0.9970204924950872,2,0.40826400238342614,word2vec
7,21,0.9970190789125374,2,0.34500429241759895,word2vec
9,20,0.9970304257330984,2,0.38175860825784047,word2vec
4,17,0.9970083266425215,8,0.0,word2vec
11,25,0.9970153516701968,2,0.3827941875191202,word2vec
18,14,0.9970246817833622,2,0.0,word2vec
15,16,0.9970461852823166,16,0.0,word2vec
8,9,0.9970351282021858,2,0.4290813927289987,word2vec
4,6,0.9970358119842708,4,0.06277983157441847,word2vec
7,10,0.9970520133404563,8,0.20181064833338122,word2vec
8,1,0.9970202640826146,2,0.42973496702070035,word2vec
8,1,0.9970271778552413,2,0.42973496702070035,word2vec
2,2,0.9970330794280997,2,0.42709700097511627,word2vec
8,1,0.9970123481834916,2,0.42973496702070035,word2vec
6,1,0.9970121801760569,16,0.3484552454370688,word2vec
8,4,0.997005636933697,2,0.42973496702070035,word2vec
5,4,0.9970048301490828,2,0.42001987530060686,word2vec
9,4,0.9970066636084932,2,0.42973496702070035,word2vec
3,6,0.997012449387007,2,0.45192136915631903,word2vec
2,6,0.9970153042095167,4,0.14090819155652734,word2vec
5,1,0.9970109273795438,2,0.42099245684192343,word2vec
8,3,0.9970036677051207,2,0.42973496702070035,word2vec
3,7,0.9970079373361852,2,0.4771731610413956,word2vec
3,7,0.9970183432478243,2,0.47888039516523906,word2vec
3,7,0.9970190091429327,2,0.47888039516523906,word2vec
1,7,0.997000370226126,2,0.0,word2vec
