min_cluster_size,rho,beta,tsne_n_components,NMI,embedding
68,1.7508854543492856,0.48539780896252605,4,0.5943711292832957,BERT
106,1.6798558652312554,0.461410955704426,4,0.7702521091699005,BERT
98,1.690398344958096,0.4574874774273421,4,0.7359829489431023,BERT
104,1.3314715402870336,0.43676380005364024,4,0.5323894452699919,BERT
106,1.6527512375049822,0.47243271723017016,4,0.7633561617371968,BERT
95,1.5513971305745964,0.4654451496818509,4,0.7667141551078304,BERT
93,1.5273534197449963,0.46657260568571396,4,0.7684540631855653,BERT
96,1.5278229749639334,0.4642259749719062,4,0.7683713617595445,BERT
88,1.515481207348637,0.46634856743496816,4,0.751075781885762,BERT
94,1.545576544118379,0.46177722753722505,4,0.7375041848602644,BERT
97,1.4750703478814158,0.45042072730667476,4,0.7655518474492337,BERT
97,1.4661439169367614,0.4491736251973177,4,0.7656686358534652,BERT
82,1.4227948268611013,0.4506447392703908,4,0.6902118127926915,BERT
95,1.3735817463441127,0.47384943795912304,4,0.7632906081520888,BERT
107,1.4441616992750095,0.4680154817465655,16,0.20684345285124514,BERT
94,1.3639683909865454,0.4309005856966959,2,0.7846313335867544,BERT
97,1.372817198278061,0.42847289237903896,2,0.7838853248928963,BERT
98,1.3689670956794537,0.434571505105085,2,0.7800959109660214,BERT
97,1.29392392436427,0.4265165138439096,2,0.7823080525417113,BERT
97,1.2573635418178328,0.424218894267977,2,0.7811051986623607,BERT
91,1.3519832745975682,0.43056088726285535,2,0.7755837687176774,BERT
91,1.3036662955287495,0.4210720434521294,2,0.7750011277228038,BERT
98,1.227015390459589,0.4285613250569711,2,0.7741898033710167,BERT
90,1.2581978054189569,0.42377238538087847,2,0.7960068671731316,BERT
91,1.2357859276573802,0.420063858362575,2,0.7828892739448573,BERT
91,1.2480522941578394,0.4113429061245034,2,0.7904286939157452,BERT
91,1.2304811482879385,0.41253344196996394,2,0.7865584764437783,BERT
91,1.261060147744192,0.42251980360507624,2,0.7765939468596043,BERT
91,1.2427989532937749,0.4200612915558099,2,0.7828892739448573,BERT
91,1.253067446819123,0.4247433122216879,2,0.7760361542977608,BERT
90,1.2414422937635847,0.4189947579650513,2,0.7880627482783833,BERT
90,1.2428968227541024,0.422210713281598,2,0.7857754246442549,BERT
88,1.2511073099109686,0.4213251248970225,2,0.7721311618642539,BERT
91,1.208223125251772,0.405988007941142,2,0.7736315388845787,BERT
90,1.227802378475234,0.4041932426405628,2,0.7870398390321605,BERT
87,1.293573179193004,0.3967947784535311,2,0.776120683416494,BERT
90,1.287307152744632,0.414231493696205,2,0.7848590466806925,BERT
91,1.286582237184511,0.39553970860699245,2,0.7802364730244391,BERT
84,1.2838770995093212,0.39775386059404094,2,0.7860332627048505,BERT
84,1.2718101553259158,0.3985547089705652,2,0.807138560246351,BERT
84,1.1700531691188865,0.39523721289244385,2,0.8102180592822118,BERT
84,1.1717376626803355,0.41120579715608085,2,0.8102095522073832,BERT
82,1.1710784873653497,0.4073951259028278,2,0.7766765245442621,BERT
84,1.187462990719649,0.3935728269629542,2,0.8102180592822118,BERT
84,1.1887286010263545,0.39713972119360275,2,0.8115647145333222,BERT
83,1.1266692229482096,0.4125118527888337,2,0.7184354316829242,BERT
86,1.1873010417647294,0.3922040303311827,2,0.7895460335422685,BERT
85,1.196820063538099,0.3893415912362725,2,0.8102180592822117,BERT
85,1.1894999818778835,0.3846008043438785,2,0.7215623904270503,BERT
79,1.1547218028877797,0.39901282415831596,2,0.779519316705514,BERT
86,1.2151887762372062,0.3910518901053184,2,0.7895460335422685,BERT
86,1.2111201455920895,0.3883887157719432,2,0.7895460335422685,BERT
85,1.2040884105182699,0.3775950508505364,2,0.8073098902859528,BERT
84,1.19635614700432,0.3766024613590112,2,0.8073098902859528,BERT
81,1.1987055103613364,0.3748180627575101,2,0.7575671180625306,BERT
163,0.12670490414156324,0.16245369297344445,16,0.003359381015270979,word2vec
167,1.1604083421552327,0.15659495159330003,4,0.0008380032763368497,word2vec
142,0.07927514102238165,0.2879476742800642,4,0.0008380032763368497,word2vec
62,0.9010459071800757,0.2680862096082457,2,0.4039838629406361,word2vec
83,0.9896602499915333,0.5571528580600185,4,0.0011587726115593786,word2vec
69,1.7675884479102544,0.48021362766435316,2,0.6394797089496306,word2vec
96,0.7454063669696015,0.5518343994929802,16,0.004199356477857567,word2vec
118,1.946183681616689,0.3048399025733264,8,0.41146045667076137,word2vec
99,0.40521158015891057,0.417738118048398,2,0.4170914289602628,word2vec
56,1.8601706626338161,0.1903429727471452,2,0.6056567687169311,word2vec
11,1.5834126248381302,0.43107285565889397,8,0.40163756592396654,word2vec
40,1.9956340775761297,0.4423329941913325,2,0.5193886249717391,word2vec
43,1.5692007403678034,0.2230027918860202,2,0.6250268544179727,word2vec
17,1.4818377750868308,0.10642365147507847,2,0.485323616559208,word2vec
47,1.5073788709940432,0.38422054170022524,2,0.6390544886704059,word2vec
77,1.291732440172847,0.3640362038845,2,0.763199165999351,word2vec
124,1.2915962240576968,0.4896376868039776,2,0.6783225024379602,word2vec
130,1.190513634463949,0.343987513468744,16,0.015966534588604014,word2vec
117,1.3220753952202415,0.476881001518378,8,0.531591971055676,word2vec
191,1.3011694624682932,0.3778221392908814,2,0.7183179533653652,word2vec
191,0.7858218237875981,0.3714937364747659,2,0.42973496702070035,word2vec
184,1.305162770837405,0.3424593213463344,2,0.7194006028001362,word2vec
195,1.0694645284530258,0.35078695168299495,2,0.4281565534933652,word2vec
175,1.3365798197501741,0.3403568553444245,2,0.7184453208208271,word2vec
163,1.682162777933626,0.32276833727910426,2,0.7051411375528691,word2vec
147,1.3450698106708123,0.26305208102928773,2,0.698964601430279,word2vec
177,1.4460226367145192,0.3311119749357334,4,0.0008380032763368497,word2vec
77,1.1190361893630094,0.30683185882168423,8,0.5630242194566476,word2vec
147,1.6892433185672497,0.39960461243558293,16,0.3166524456408198,word2vec
173,1.2261046209524036,0.35403132854511454,16,0.022286238708610823,word2vec
160,1.3885417880692963,0.2511581514270526,2,0.71224717194117,word2vec
185,1.2963552731247845,0.3925142380340317,2,0.7194338238529581,word2vec
182,1.184830814513749,0.3935618841934807,2,0.7189305742840838,word2vec
181,1.1836168423037532,0.4010556478418301,2,0.7189305742840838,word2vec
154,1.0455637692098534,0.2963179071568287,4,0.0008380032763368497,word2vec
185,0.9679865125402237,0.3634229665979736,2,0.42973496702070035,word2vec
138,1.1376246283765816,0.3870266552502527,4,0.0008380032763368497,word2vec
89,1.442737101079812,0.4486021781349032,2,0.6905699320850945,word2vec
113,0.902053227255234,0.4137928834620877,2,0.41999075502634686,word2vec
169,1.1934018945667708,0.317920284129729,2,0.7148053512162779,word2vec
161,1.2516373176371633,0.3670033767847685,16,0.017003526128153253,word2vec
182,1.116355787767203,0.4056128578824991,2,0.7129414191584664,word2vec
184,1.2255498911794542,0.4067272395162815,2,0.7065074905574978,word2vec
74,1.0114215265486626,0.2841298356110064,2,0.748615369992337,word2vec
67,0.9928561738671211,0.32674302692725066,2,0.40577907909569805,word2vec
84,1.400493221749318,0.24440720649484676,8,0.6477806759026701,word2vec
57,1.0762661167276428,0.2920382311229342,2,0.7209290158982226,word2vec
58,0.7893905428392891,0.31467381123683774,2,0.40361027635271934,word2vec
30,1.059105367335975,0.2782787374306099,4,0.5576761245989732,word2vec
105,0.9076266154529589,0.3042536203328756,2,0.4281565534933652,word2vec
74,0.6629717219663931,0.290234463097014,2,0.4250405456809884,word2vec
51,1.239431580420944,0.2825172616023414,2,0.7276753336051316,word2vec
51,1.522675491016223,0.28383564825936225,2,0.6438326463267517,word2vec
35,1.2656395151309545,0.22357693793443095,2,0.6580202079760065,word2vec
66,1.40429879314406,0.35373256482445425,2,0.7072304197071988,word2vec
94,1.104212407357631,0.26766365761342936,8,0.0,word2vec
54,1.3018388219790011,0.33984866683424897,2,0.7236165185039343,word2vec
19,1.0291496277689403,0.30946770681535474,2,0.5639414584281434,word2vec
53,1.2664960431604044,0.33029796016136326,2,0.7100188732371349,word2vec
60,1.3688638389871155,0.28526302827977024,2,0.7019021407567143,word2vec
75,1.12837762909461,0.3668509842276744,16,0.14627187713994672,word2vec
42,1.3223741936826114,0.3379810486022035,2,0.6689432680374683,word2vec
31,1.2868206528535382,0.3392877189775015,2,0.6109817905807943,word2vec
82,1.4700579348482339,0.3017941011528806,2,0.7226137165224059,word2vec
82,1.486097386874758,0.3050631357738161,2,0.7068880201723644,word2vec
106,1.5462981262539375,0.2730002829363657,2,0.7090754342506261,word2vec
47,1.5824581399284576,0.29859076288076963,2,0.671954986267129,word2vec
64,1.3564311417772088,0.24469446926780136,8,0.6474736759756878,word2vec
71,1.172023908425708,0.3824986365042379,2,0.7129310926038626,word2vec
91,1.4452305623554003,0.3526700135723547,4,0.5791213307527503,word2vec
80,1.2181574771285126,0.3259972138045748,2,0.7287163086822994,word2vec
85,1.2344494400525063,0.3201702432069689,2,0.7110282060147597,word2vec
79,1.0755958318823067,0.25986197433138336,2,0.7291263781651649,word2vec
78,1.0713870983321618,0.2904542597131488,2,0.7126232858611081,word2vec
98,1.1526213953635642,0.25953888844654405,2,0.598733933413454,word2vec
61,1.2090643678455706,0.2658241735120506,2,0.7028246495371157,word2vec
55,0.9781790903219792,0.27717462922414116,2,0.4007253331906061,word2vec
72,1.068407236927788,0.31733080811336634,16,0.12088337968897057,word2vec
80,1.3370806536939146,0.2954700992029073,2,0.7337065107157319,word2vec
79,1.3149535416189178,0.3254978704443623,2,0.7354636076317808,word2vec
88,1.3240997722497316,0.33061494509594236,2,0.7414901643174125,word2vec
89,1.322358348373951,0.33232930895189206,2,0.7270650125189276,word2vec
89,1.3749219506893178,0.3186460049460283,2,0.6905539980659945,word2vec
103,1.236584664238638,0.3287583742337393,2,0.7343150840203544,word2vec
102,1.2203180632894037,0.35900545682650753,2,0.5940484815444024,word2vec
95,1.1629124078293085,0.34637837116103654,2,0.5623852976979543,word2vec
110,1.2596933140588455,0.37072704193142514,4,0.4193742778351957,word2vec
78,1.4164511160617017,0.29458775534474496,2,0.6994171849726576,word2vec
120,1.19200318297389,0.3083221658996918,2,0.5870388898551784,word2vec
68,1.364868558699999,0.3293587255523624,8,0.6495161379984759,word2vec
101,1.1403533276516093,0.25210145690525987,2,0.5843148587970236,word2vec
85,1.3228089387378954,0.3282224632043762,2,0.7033209277487937,word2vec
87,1.2756625371977859,0.27734230469876076,2,0.7304335259844295,word2vec
80,1.2394020583376764,0.2788542404388473,2,0.7315567522510836,word2vec
80,1.2733719658497515,0.23158732811158428,2,0.7323493481835327,word2vec
92,1.2737879701023849,0.22648886660768763,2,0.7171611321773881,word2vec
73,1.4246993928136866,0.2358799869028789,2,0.6870236270416012,word2vec
86,1.3509355025671468,0.2604296603723266,16,0.25798789409016387,word2vec
96,1.2690171872057137,0.27105517830006665,2,0.7122507314470348,word2vec
69,1.1235209105530877,0.21720747507572424,2,0.6847492486970876,word2vec
79,1.3949948015101243,0.2879225001051848,2,0.7225785787991431,word2vec
80,1.1993266761730033,0.27524767155018826,2,0.7281694951578411,word2vec
75,1.233474920355434,0.3095038742300009,2,0.7252113182080638,word2vec
88,1.310046458439882,0.2999145425690079,2,0.7247457399237638,word2vec
64,1.1670446472120355,0.34850291191102334,2,0.6997882061959587,word2vec
82,1.0888390342916754,0.2824461596698666,2,0.6177770975196185,word2vec
105,1.0163014101655616,0.32314478533092156,2,0.4280111861022752,word2vec
94,1.2979558141089023,0.3133409725948334,2,0.7280099972423169,word2vec
70,1.2370264968562834,0.2970776615415797,4,0.5629477955079124,word2vec
77,1.3490701558456761,0.25580085327932345,8,0.5935164694201556,word2vec
98,1.448393562763823,0.2669801663312919,2,0.7094437115173724,word2vec
80,1.18444796548809,0.2748441092396018,2,0.7379541236743731,word2vec
82,1.1190474802412438,0.28169544787637996,2,0.709542897903948,word2vec
87,1.2107961197920987,0.24224906621730954,2,0.5197950764743714,word2vec
74,1.287461088097178,0.35921017537254774,2,0.7279941637366242,word2vec
92,1.1594278863764234,0.3374108945166212,2,0.7149394235262265,word2vec
110,1.3955985912393678,0.29190378655196314,2,0.7349290518447029,word2vec
131,1.3810069077619453,0.2616013942485081,2,0.7160314333526093,word2vec
112,1.3269507305782393,0.25214292371974517,2,0.7503712582943141,word2vec
125,1.505357742010189,0.29452368426553366,16,0.3188884458426293,word2vec
106,1.4132775312991854,0.27378237285174256,2,0.7243111914975969,word2vec
116,1.3426849492993347,0.2563606543400062,2,0.7503257106993729,word2vec
114,1.3343301438902275,0.25059999121922105,2,0.7500118224377436,word2vec
119,1.3370966490853584,0.24919730479465188,2,0.7173351848441598,word2vec
112,1.463907168281596,0.23565205080519902,2,0.7093247901694506,word2vec
115,1.3214731392421244,0.25514222434765155,2,0.7489146700017759,word2vec
109,1.3919916722402,0.20897782823584315,2,0.7341259189052315,word2vec
114,1.3902244479327441,0.2077261966352068,2,0.7191887590627967,word2vec
127,1.341022114937683,0.25049957515662113,2,0.7191887483774495,word2vec
109,1.4884161887816363,0.21004937774486682,2,0.720751577946126,word2vec
122,1.4292092553560936,0.24335208108987055,4,0.5853683891094111,word2vec
114,1.30290439569029,0.23047456562650118,2,0.7110600975330456,word2vec
116,1.360888446295899,0.21864901560256056,2,0.7338987775029744,word2vec
116,1.3710286778445622,0.19869523090540334,2,0.7338987775029744,word2vec
135,1.3749265607773034,0.18082546022565332,2,0.7007383018106847,word2vec
108,1.5402239025485387,0.20202273436290408,2,0.7316563296173696,word2vec
119,1.4611894751416652,0.19285673302110393,2,0.7273654277626563,word2vec
116,1.4112323458276923,0.22199399950080492,2,0.7315667627819555,word2vec
128,1.3666065057256636,0.21827949475320313,8,0.6063800328012032,word2vec
103,1.3197505182705815,0.2399297367271081,2,0.7246910522254801,word2vec
122,1.4914958773542653,0.2290031677297034,2,0.718714252008524,word2vec
110,1.3351235758214395,0.25292606693252306,2,0.7484231625273944,word2vec
111,1.395118196766722,0.2588408359216976,2,0.7490961940416673,word2vec
108,1.4342148752948234,0.25314866140766407,2,0.7601793310675028,word2vec
110,1.4316385985419209,0.2546272719495276,2,0.7357433755581201,word2vec
100,1.4449048927421504,0.25786147803559933,2,0.7085931508750686,word2vec
112,1.2715537584342496,0.26699072201023755,2,0.737783152957189,word2vec
109,1.5215145170768445,0.2684807580423144,2,0.7085328867323387,word2vec
114,1.305902426386445,0.25543289338080927,16,0.011000651165219763,word2vec
123,1.427226716519927,0.26937927763208913,2,0.7385657307349351,word2vec
134,1.435241499679093,0.2500269783939404,2,0.7110911939190299,word2vec
123,1.4020333962512384,0.2718305015885369,2,0.7385657307349351,word2vec
120,1.3239268844066099,0.2630984593537657,2,0.7187383711548555,word2vec
124,1.4670002683645604,0.24348415474752735,2,0.7034335305266203,word2vec
140,1.5904797928449854,0.26878298718541527,2,0.7116200724216811,word2vec
112,1.2597542002205189,0.25372054596248655,2,0.7514611085598046,word2vec
111,1.2658747561633874,0.25228140032476676,2,0.7267169911623667,word2vec
118,1.422244083751129,0.23785702403516362,2,0.7134674588938613,word2vec
124,1.263023355648617,0.2647036783974762,2,0.7115630624974346,word2vec
131,1.34766745406374,0.2816832922736924,2,0.7114688409187709,word2vec
103,1.205212436534685,0.2547276656179002,2,0.7060504210643199,word2vec
107,1.299292102093837,0.2687590760567442,2,0.7426462645807824,word2vec
106,1.2835168846205811,0.26989951199665196,2,0.7466881413233935,word2vec
106,1.2861717489852966,0.264560402711977,2,0.7466881413233935,word2vec
105,1.3070238538867005,0.27572165740395554,2,0.7163528335950629,word2vec
99,1.3474568468738897,0.2440114651057777,2,0.7230086772611792,word2vec
116,1.2436107336565976,0.2843936872540097,2,0.7187461360613818,word2vec
107,1.1897013818235997,0.26839900660119054,4,0.02066901799155384,word2vec
101,1.2822860749033402,0.23516111350494479,2,0.7245383091378631,word2vec
121,1.3380445939113101,0.24791462152934535,8,0.5226899301884735,word2vec
114,1.3850977552604007,0.2758658556308937,2,0.7323150534807781,word2vec
112,1.2801085685276543,0.2627026427745779,2,0.737783152957189,word2vec
107,1.243525174246121,0.2695726717801531,2,0.7069728071257221,word2vec
118,1.2906592468466864,0.28908557175254895,2,0.7068978486262155,word2vec
113,1.3319201659736817,0.26226463091664,2,0.7503712582943141,word2vec
125,1.326985602270408,0.25755394885558525,2,0.7109766683557274,word2vec
105,1.3951738201932917,0.24764609019561687,2,0.7330554798732964,word2vec
113,1.3662429398036409,0.28449254696843745,2,0.7534850929260662,word2vec
97,1.3585082396955144,0.2333682315964855,2,0.7034855253340735,word2vec
113,1.4161723011705634,0.2861894744519007,2,0.7231116933942843,word2vec
117,1.4804741107262445,0.25900995091567003,2,0.6935279933999285,word2vec
108,1.3185824671713784,0.27676557256047996,2,0.6964037084247758,word2vec
103,1.3864350875283624,0.27363182786414775,2,0.7135000867413266,word2vec
122,1.2403399941857913,0.24533739908261515,2,0.6993607123487335,word2vec
112,1.3516006999925079,0.30363047560216094,2,0.7526926922970253,word2vec
112,1.3460505200467325,0.3031012936537883,2,0.7526926922970253,word2vec
111,1.3507063324336044,0.3040454489685608,16,0.14936553550875364,word2vec
115,1.3012949626901067,0.3022811850535831,2,0.7110600975330456,word2vec
109,1.3564262328030021,0.289867769292149,2,0.735233712634016,word2vec
104,1.4526319676125683,0.26124512487033286,2,0.709685222627975,word2vec
118,0.9554411490058673,0.31043372057289836,2,0.4281565534933652,word2vec
113,1.3886497201526324,0.2811394093558556,2,0.7332409098477142,word2vec
107,1.3216446174305916,0.29548897894475673,2,0.7217257743583471,word2vec
128,1.4119433150810903,0.26547235080589715,2,0.7190376218653833,word2vec
119,1.2887949065865243,0.2583058426031765,2,0.715810271053561,word2vec
111,1.3587188855212733,0.24984231877475835,2,0.7534850929260662,word2vec
