n_clusters,epsilon,tsne_n_components,NMI,embedding
4,0.3448874327572881,2,0.0,BERT
4,0.7770038854457985,8,0.0,BERT
4,0.6124083431472094,4,0.0,BERT
4,0.5632221980406166,16,0.0,BERT
4,0.46124022453115104,2,0.0,BERT
4,0.30928992689290663,2,0.0,BERT
4,0.4823238507251923,2,0.0,BERT
4,0.4270164338178787,8,0.0,BERT
4,0.5200494394100028,2,0.0,BERT
4,0.23284671852963257,8,0.0,BERT
4,0.7083492763069967,16,0.0,BERT
4,0.6708847870147042,4,0.0,BERT
4,0.5870923831245978,8,0.0,BERT
4,0.4968373257031746,2,0.0,BERT
4,0.27154262733540063,8,0.0,BERT
4,0.3869274707469146,8,0.0,BERT
4,0.44122991615840546,8,0.0,BERT
4,0.550037406342097,8,0.0,BERT
4,0.35840843793286803,16,0.0,BERT
4,0.18069339547430924,16,0.0,BERT
4,0.5640397381207422,8,0.0,BERT
4,0.6540054749931044,16,0.0,BERT
4,0.6107895225863027,8,0.0,BERT
4,0.8627565612796622,2,0.0,BERT
4,0.7440607405293388,16,0.0,BERT
4,0.6305555991050733,16,0.0,BERT
4,0.6944419618450677,16,0.0,BERT
4,0.5807336260274514,16,0.0,BERT
4,0.6676658605914433,4,0.0,BERT
4,0.49130026812716215,16,0.0,BERT
4,0.5289322562026478,8,0.0,BERT
4,0.4099996525703096,16,0.0,BERT
4,0.7255940752273468,16,0.0,BERT
4,0.6192301738372284,8,0.0,BERT
4,0.024009391680844427,4,0.0,BERT
4,0.16006833679633722,4,0.0,BERT
4,0.47033204001345835,4,0.0,BERT
4,0.43884544538205134,4,0.0,BERT
4,0.31835414662547895,2,0.0,BERT
4,0.3798433282075917,16,0.0,BERT
4,0.5100112403843383,8,0.0,BERT
4,0.26149103971574134,4,0.0,BERT
4,0.6017270689917641,16,0.0,BERT
4,0.20627332392267944,8,0.0,BERT
4,0.7835566199642655,16,0.0,BERT
4,0.1266857262137906,16,0.0,BERT
4,0.26735841448898995,16,0.0,BERT
4,0.5786155142733396,2,0.0,BERT
4,0.6499301944163965,16,0.0,BERT
4,0.5432960635638739,16,0.0,BERT
4,0.33601919555012627,8,0.0,BERT
4,0.29762096200566324,16,0.0,BERT
4,0.2406990865503926,2,0.0,BERT
4,0.4626381308973151,8,0.0,BERT
4,0.9635794376186173,8,0.0,BERT
4,0.6751455792897998,8,0.0,BERT
4,0.7112816938087995,8,0.0,BERT
4,0.6362397313368041,8,0.0,BERT
4,0.7513343164865344,16,0.0,BERT
4,0.19664275546940346,4,0.0,BERT
4,0.21678436770170356,8,0.0,BERT
4,0.5949967022346386,16,0.0,BERT
4,0.6909582321822255,2,0.0,BERT
4,0.5012544344352068,8,0.0,BERT
4,0.3599876841015991,8,0.0,BERT
4,0.2862663965981882,8,0.0,BERT
4,0.32507707906122596,8,0.0,BERT
4,0.3888433506747449,16,0.0,BERT
4,0.34525772332514665,8,0.0,BERT
4,0.2979143879304687,16,0.0,BERT
4,0.6254728801625665,4,0.0,BERT
4,0.41630744072195325,8,0.0,BERT
4,0.4450344974101356,16,0.0,BERT
4,0.23729062041782745,2,0.0,BERT
4,0.03183018367224111,8,0.0,BERT
4,0.18020951138020164,8,0.0,BERT
4,0.09741774055674463,8,0.0,BERT
4,0.1517779514194637,8,0.0,BERT
4,0.37211713558188475,8,0.0,BERT
4,0.8431330608569725,16,0.0,BERT
4,0.8144507299684425,4,0.0,BERT
4,0.3242892240449887,8,0.0,BERT
4,0.6596320013571693,16,0.0,BERT
4,0.39796210588466097,8,0.0,BERT
4,0.5466129343171323,8,0.0,BERT
4,0.4756404417269938,8,0.0,BERT
4,0.42471996484317004,8,0.0,BERT
4,0.518116914352065,16,0.0,BERT
4,0.5848717282584506,2,0.0,BERT
4,0.3672461292587354,8,0.0,BERT
4,0.34864864352922253,16,0.0,BERT
4,0.6096364196867863,8,0.0,BERT
4,0.6794056286865756,4,0.0,BERT
4,0.5627914736361308,16,0.0,BERT
4,0.2529128117793254,4,0.0,BERT
4,0.20754668047751293,4,0.0,BERT
4,0.26733036049313447,4,0.0,BERT
4,0.22655747424888095,4,0.0,BERT
4,0.2849181589996954,8,0.0,BERT
4,0.30915587859834814,2,0.0,BERT
4,0.6384401882948592,16,0.0,BERT
4,0.8996751332379924,8,0.0,BERT
4,0.39484629002807026,8,0.0,BERT
4,0.24393341786679945,16,0.0,BERT
4,0.4871724802487961,2,0.0,BERT
4,0.5295382041776718,2,0.0,BERT
4,0.7927303170357614,2,0.0,BERT
4,0.7652023939955562,2,0.0,BERT
4,0.4449168681657447,4,0.0,BERT
4,0.7260601706270668,8,0.0,BERT
4,0.18249273282068496,16,0.0,BERT
4,0.5075199595291324,2,0.0,BERT
4,0.46243350659145066,8,0.0,BERT
4,0.22294420763219328,16,0.0,BERT
4,0.12742536919513847,8,0.0,BERT
4,0.3329689575013733,8,0.0,BERT
4,0.5639309137523442,8,0.0,BERT
4,0.2484625934320212,8,0.0,BERT
4,0.4182976532377536,8,0.0,BERT
4,0.18943557371954298,16,0.0,BERT
4,0.05360018254121629,8,0.0,BERT
4,0.15702727571416197,4,0.0,BERT
4,0.2079643878072704,8,0.0,BERT
4,0.3700516547801884,2,0.0,BERT
4,0.4880503307023927,8,0.0,BERT
4,0.4483201459349618,8,0.0,BERT
4,0.011072812859871104,8,0.0,BERT
4,0.5299777804163568,8,0.0,BERT
4,0.5017358116921751,16,0.0,BERT
4,0.3864495664926945,8,0.0,BERT
4,0.6530486032084528,16,0.0,BERT
4,0.2722800762509129,4,0.0,BERT
4,0.8233869779000351,8,0.0,BERT
4,0.09006367778653782,8,0.0,BERT
4,0.5830767891907791,8,0.0,BERT
4,0.5502887838566769,8,0.0,BERT
4,0.17382567696152698,8,0.0,BERT
4,0.6046888557432405,16,0.0,BERT
4,0.30604686886290866,8,0.0,BERT
4,0.35259931215724427,2,0.0,BERT
4,0.7682385757564221,8,0.0,BERT
4,0.6231563905964479,16,0.0,BERT
4,0.884907018125064,4,0.0,BERT
4,0.8046899915429647,8,0.0,BERT
4,0.20914637443000567,2,0.0,BERT
4,0.2193882008791479,2,0.0,BERT
4,0.23310934055093283,2,0.0,BERT
4,0.4735398582361647,2,0.0,BERT
4,0.25746912814171646,16,0.0,BERT
4,0.28614527366987197,2,0.0,BERT
4,0.7033140394073484,8,0.0,BERT
4,0.40599933316446046,8,0.0,BERT
4,0.8438956494276851,16,0.0,BERT
4,0.7032055758268996,2,0.0,word2vec
4,0.2733249878844338,16,0.0,word2vec
4,0.7846280201279223,2,0.0,word2vec
4,0.6825137542906156,4,0.0,word2vec
4,0.5325745860949825,8,0.0,word2vec
4,0.4892082088680226,8,0.0,word2vec
4,0.813925229138978,16,0.0,word2vec
4,0.6809827113220155,2,0.0,word2vec
4,0.6357432809624971,8,0.0,word2vec
4,0.8439956826764994,16,0.0,word2vec
4,0.954964441698026,2,0.0,word2vec
4,0.24337627566266368,16,0.0,word2vec
4,0.06257668866685151,4,0.0,word2vec
4,0.33653143230363847,16,0.0,word2vec
4,0.3650370591417671,2,0.0,word2vec
4,0.021874485724632187,16,0.0,word2vec
4,0.21968732162512283,2,0.0,word2vec
4,0.4676781169276532,4,0.0,word2vec
4,0.5878190680859698,16,0.0,word2vec
4,0.4187304926867341,2,0.0,word2vec
4,0.5764197980783675,2,0.0,word2vec
4,0.7625994222616408,2,0.0,word2vec
4,0.7337433507726246,2,0.0,word2vec
4,0.9502643602162706,2,0.0,word2vec
4,0.8665709933530591,2,0.0,word2vec
4,0.6162221166792798,16,0.0,word2vec
4,0.7460229592099671,8,0.0,word2vec
4,0.5402281825949138,4,0.0,word2vec
4,0.8932564465987778,2,0.0,word2vec
4,0.6545813434927814,4,0.0,word2vec
4,0.7367801034508016,16,0.0,word2vec
4,0.6922665475509147,4,0.0,word2vec
4,0.8053003997073376,4,0.0,word2vec
4,0.4927206940548095,8,0.0,word2vec
4,0.6801533404857688,4,0.0,word2vec
4,0.5460791037772352,8,0.0,word2vec
4,0.622516163429163,2,0.0,word2vec
4,0.8058168521928065,4,0.0,word2vec
4,0.7131764118951068,16,0.0,word2vec
4,0.7866216254456808,2,0.0,word2vec
4,0.6712720643721648,8,0.0,word2vec
4,0.6328673931211843,8,0.0,word2vec
4,0.5485699321102222,8,0.0,word2vec
4,0.8284157418782105,8,0.0,word2vec
4,0.7016388069693725,16,0.0,word2vec
4,0.4386806442243413,16,0.0,word2vec
4,0.4802293253289326,2,0.0,word2vec
4,0.5921099244186101,4,0.0,word2vec
4,0.7673842525084862,8,0.0,word2vec
4,0.5195496458461069,2,0.0,word2vec
4,0.6486802860473583,16,0.0,word2vec
4,0.3769506762392635,8,0.0,word2vec
4,0.2905866497916655,8,0.0,word2vec
4,0.18191141273873535,8,0.0,word2vec
4,0.44008357145124094,2,0.0,word2vec
4,0.5827417876310796,8,0.0,word2vec
4,0.5105241861217703,2,0.0,word2vec
4,0.7403178499189556,16,0.0,word2vec
4,0.37350104468937423,4,0.0,word2vec
4,0.603300641759147,2,0.0,word2vec
4,0.6616023668019173,8,0.0,word2vec
4,0.7076854288064859,16,0.0,word2vec
4,0.8548684595845162,16,0.0,word2vec
4,0.775686656532291,16,0.0,word2vec
4,0.9039186953306572,16,0.0,word2vec
4,0.8090544944412782,4,0.0,word2vec
4,0.7305924913462668,2,0.0,word2vec
4,0.6217915637963859,16,0.0,word2vec
4,0.6853361147671185,2,0.0,word2vec
4,0.5726775590375512,4,0.0,word2vec
4,0.8335586793674649,8,0.0,word2vec
4,0.7651218904889554,2,0.0,word2vec
4,0.6555072957511787,2,0.0,word2vec
4,0.724675900586829,2,0.0,word2vec
4,0.693966799718511,2,0.0,word2vec
4,0.74911726531446,16,0.0,word2vec
4,0.6093601867972895,2,0.0,word2vec
4,0.7904172283559227,4,0.0,word2vec
4,0.5523571929662346,8,0.0,word2vec
4,0.6375439598122844,16,0.0,word2vec
4,0.5026728827880769,2,0.0,word2vec
