density_threshold,distance_threshold,tsne_n_components,NMI,embedding
0.012419738177548115,0.9126477228276977,2,0.3761893802563102,BERT
0.151679518568757,0.9996617316164632,2,0.382157516033229,BERT
0.05321435519715847,0.9604708314324161,2,0.3788612980645368,BERT
0.151325717436835,0.8310476070044992,2,0.37013818761774014,BERT
0.08867850634230315,0.9032534879970459,8,0.3448272900273588,BERT
0.2564831810348443,0.8856508466711458,2,0.3742858738086533,BERT
0.2134543515098965,0.9655135715784046,16,0.34473401535561754,BERT
0.10859622911707062,0.9968180771442133,2,0.381960956030791,BERT
0.10921133604417033,0.9224390970970267,2,0.3770731083321784,BERT
0.16092327126050698,0.996398858664957,2,0.3818411602848593,BERT
0.0389018751073619,0.9306219154858765,2,0.3772386119547992,BERT
0.08909730132021887,0.9721956049767959,2,0.37994182476522614,BERT
0.12060529454101906,0.8730754615586429,4,0.3458566526879389,BERT
0.05628891438835325,0.9738109049423362,2,0.38004007618723384,BERT
0.010834370162036859,0.9987828661256644,2,0.3819531865072716,BERT
0.16418386749286612,0.9188023626331259,2,0.3767932650321525,BERT
0.07377858858709488,0.8201508755129593,2,0.3695385676562465,BERT
0.03099912128420558,0.9789010717378904,2,0.3804482049548584,BERT
0.011732991538598865,0.9949285629310093,2,0.38189361354282286,BERT
0.10711584784948168,0.9367616207618198,2,0.3776122365468031,BERT
0.07007375934834595,0.9652584848569796,2,0.37936991152786287,BERT
0.13619227141324963,0.9999307124581274,2,0.3821975376058522,BERT
0.13224789802453296,0.9260644960108344,8,0.3448272900273588,BERT
0.1930202022021391,0.8926897216343808,2,0.3746955208300627,BERT
0.1548829711958227,0.8628512897858973,4,0.3458566526879389,BERT
0.10345839539271535,0.9461977313141071,2,0.3781895204513923,BERT
0.22170190449694438,0.9734238659787751,16,0.34473401535561754,BERT
0.038672692127252016,0.999806386625291,2,0.382157516033229,BERT
0.07536408267301031,0.9989462969109363,2,0.3819531865072716,BERT
0.039480394508923655,0.9518224004347097,2,0.3782552096509299,BERT
0.1310757053339228,0.9120838262990659,2,0.3762822736476912,BERT
0.09083877427763881,0.9715132517287753,2,0.37994182476522614,BERT
0.17908970503348404,0.9368227832388013,2,0.3776122365468031,BERT
0.04431868371557651,0.9997896363770306,2,0.382157516033229,BERT
0.14551320853689245,0.8865228760993482,2,0.37431841648682634,BERT
0.03341291218695499,0.8442414352963482,2,0.3707012625313442,BERT
0.11946863860336049,0.9753385508346699,8,0.3448272900273588,BERT
0.05488943093285884,0.9535567579061205,2,0.37836983682217307,BERT
0.07798339685680059,0.9803740254451744,2,0.3806301532937824,BERT
0.05662053786901437,0.995324355725109,2,0.38189361354282286,BERT
0.10095686007927804,0.9144917568804075,2,0.3762860052886952,BERT
0.03183095021543763,0.949781325115766,2,0.3780635553030592,BERT
0.08428183791067753,0.9984583547090566,2,0.3819531865072716,BERT
0.11668305265112568,0.9314736151887675,2,0.3772386119547992,BERT
0.14651372453002115,0.9756324350333221,16,0.34473401535561754,BERT
0.06222340286925708,0.8989832169095827,4,0.3458566526879389,BERT
0.16900535230460292,0.9530261769966857,2,0.37836983682217307,BERT
0.017233065640687537,0.9955717026953599,2,0.38189361354282286,BERT
0.03687406901934173,0.9783254721481912,2,0.3804482049548584,BERT
0.04588523572929086,0.9602396555083108,2,0.37883280374092704,BERT
0.014439550246027706,0.9998135716176991,2,0.382157516033229,BERT
0.09493552034847698,0.9201968383048004,2,0.3769837879379832,BERT
0.08134873614014249,0.9395094988712639,2,0.3777763752269933,BERT
0.027801788838574953,0.9999907356875629,2,0.3821975376058522,BERT
0.021758956506484052,0.9806224722293151,2,0.38067683813226905,BERT
0.12285387748590547,0.9584817892653315,2,0.3786083291122358,BERT
0.06372995473261961,0.8714255741389416,2,0.3731190825766154,BERT
0.04126293697015532,0.9819571110191515,2,0.3807708050200564,BERT
0.07134819936837397,0.9286309200430296,2,0.377201334892592,BERT
