bandwidth,tsne_n_components,NMI,embedding
0.7380402802701596,2,0.36483106426775685,BERT
0.9088915204489887,2,0.37307187387157914,BERT
0.8930396553307134,2,0.3722050894524453,BERT
0.9076804605093001,4,0.34585665268793886,BERT
0.82888225457733,2,0.36918667759504364,BERT
0.8386370071476172,2,0.3693593707545374,BERT
0.8852052855480657,2,0.37194250543196133,BERT
0.9096286574138512,2,0.3731097875717327,BERT
0.9027241322490157,2,0.3728577692690845,BERT
0.8989282512043778,2,0.37253158895109106,BERT
0.9067531510264639,8,0.3448272900273588,BERT
0.8411637822252046,2,0.3692672736640789,BERT
0.8062753977421004,2,0.36814634675290553,BERT
0.7689303960012448,2,0.36597071486584737,BERT
0.8390992726283669,2,0.3693593707545374,BERT
0.8926754667602536,16,0.34473401535561754,BERT
0.8895695652536466,2,0.37206454671029715,BERT
0.8083613041044431,2,0.3682736515689995,BERT
0.8458886905656439,2,0.36968236804279525,BERT
0.8978698569794608,2,0.372388856646419,BERT
0.905449868501186,2,0.3730828379696222,BERT
0.9096046767041015,4,0.34585665268793886,BERT
0.847501014125644,2,0.3698122594234839,BERT
0.8224071294150399,8,0.3448272900273588,BERT
0.8889156129145723,2,0.37206454671029715,BERT
0.8207141558325669,2,0.3686521938469342,BERT
0.8848505175812529,2,0.37194250543196133,BERT
0.9094691729548591,2,0.3731097875717327,BERT
0.8548715240611697,2,0.3704225638389157,BERT
0.907804923127748,2,0.3730222084304654,BERT
0.9090388949612419,2,0.37307187387157914,BERT
0.8540463456494047,2,0.3703954334384323,BERT
0.9099497545260331,2,0.3731097875717327,BERT
0.8538223836034591,2,0.3703683070118145,BERT
0.9093010521411462,16,0.34473401535561754,BERT
0.7905465122627567,2,0.36712269464474945,BERT
0.9095769797807309,2,0.3731097875717327,BERT
0.8726636330380023,2,0.3716996442500302,BERT
0.909850225473661,2,0.3731097875717327,BERT
0.8714540655908325,2,0.3715970897959642,BERT
0.8316355896867063,2,0.3691976813931867,BERT
0.8573823365997311,2,0.37052447093040874,BERT
0.8789708837542881,4,0.34585665268793886,BERT
0.8101039027698104,2,0.3684010670050642,BERT
0.9091342683178053,8,0.3448272900273588,BERT
0.8384370258628131,2,0.36932223007277865,BERT
0.8908342307901075,2,0.37204750597105807,BERT
0.9091405024213527,2,0.3731097875717327,BERT
0.867052533496923,2,0.37112592848859866,BERT
0.9093261033108544,2,0.3731097875717327,BERT
0.8802952316761643,2,0.3718250869018391,BERT
0.8530833795385735,2,0.37022250428226505,BERT
0.8664686284393889,2,0.37112592848859866,BERT
0.8916051065994297,2,0.3721399728058428,BERT
0.8292830822522992,2,0.369223776349476,BERT
0.8831354407615295,16,0.34473401535561754,BERT
0.9088896765200962,2,0.37307187387157914,BERT
0.9074985024312272,2,0.3730222084304654,BERT
0.8659382335667576,2,0.370931777328234,BERT
0.9094062264664537,2,0.3731097875717327,BERT
0.8891101732391214,2,0.37206454671029715,BERT
0.8457240608533628,2,0.369656695149484,BERT
0.8779028286730496,2,0.37177936962134656,BERT
0.8921226532443386,2,0.3722050894524453,BERT
0.8183045235997349,4,0.34585665268793886,BERT
0.8559789744038072,2,0.3704225638389157,BERT
0.9080112720581689,2,0.3730222084304654,BERT
0.9071996784914154,2,0.37311711097410144,BERT
0.8674024049104085,2,0.3711634476841459,BERT
0.8911904390126909,2,0.3721022559358036,BERT
0.9097096593146162,2,0.3731097875717327,BERT
0.8394210881885393,2,0.36939651890711095,BERT
0.8740309265250816,8,0.3448272900273588,BERT
0.8896035912253005,2,0.37206454671029715,BERT
0.5497356875335759,2,0.35809784165907443,BERT
0.8545953842736252,2,0.3704225638389157,BERT
0.9079523975682889,2,0.3730222084304654,BERT
0.8929972803562042,2,0.3722050894524453,BERT
0.9095086398846647,2,0.3731097875717327,BERT
0.8753203838509457,2,0.37178162171140494,BERT
0.8364677047156539,2,0.36926831639997615,BERT
0.9093701577233488,2,0.3731097875717327,BERT
0.6763235691071136,2,0.36230785853606495,BERT
0.8663255317736366,16,0.34473401535561754,BERT
0.8876110701844396,2,0.37206454671029715,BERT
0.8478284411222441,2,0.36984951346348743,BERT
0.9092622733038062,2,0.3731097875717327,BERT
0.8921669896119978,2,0.3722050894524453,BERT
0.909161718890703,2,0.3731097875717327,BERT
0.6516921469229371,2,0.36149133390323357,BERT
0.8757407985849657,2,0.37184797823575017,BERT
0.9099072757467533,2,0.3731097875717327,BERT
0.8619269453608457,2,0.37060593079112547,BERT
0.890738708575174,4,0.34585665268793886,BERT
0.8777695090758248,2,0.37177936962134656,BERT
0.9093705862877755,2,0.3731097875717327,BERT
0.8937901722030808,2,0.37217906499106135,BERT
0.7182838388622725,2,0.3640881162795732,BERT
0.9062055398808622,2,0.37308958444593693,BERT
0.8730296300750425,2,0.3716996442500302,BERT
0.6236483357963425,2,0.3608365760938236,BERT
