k,nc,tsne_n_components,NMI,embedding
25,6,2,0.7032790856076744,word2vec
22,6,2,0.733714726228384,word2vec
21,6,2,0.7283426362948803,word2vec
29,6,8,0.522394213694142,word2vec
27,6,4,0.4924546884585816,word2vec
22,6,2,0.733714726228384,word2vec
26,6,2,0.7017866805675116,word2vec
24,6,2,0.7493738336832804,word2vec
25,6,2,0.7032790856076744,word2vec
5,6,2,0.7129247931402611,word2vec
24,6,2,0.7493738336832804,word2vec
20,6,2,0.7072549510199339,word2vec
23,6,16,0.12827267355400956,word2vec
26,6,2,0.7017866805675116,word2vec
24,6,2,0.7493738336832804,word2vec
22,6,2,0.733714726228384,word2vec
19,6,2,0.7213819851028033,word2vec
24,6,2,0.7493738336832804,word2vec
23,6,2,0.7403912357854976,word2vec
25,6,2,0.7032790856076744,word2vec
28,6,2,0.7055388013520764,word2vec
24,6,2,0.7493738336832804,word2vec
21,6,2,0.7283426362948803,word2vec
26,6,2,0.7017866805675116,word2vec
25,6,2,0.7032790856076744,word2vec
20,6,8,0.6445824384776772,word2vec
23,6,2,0.7403912357854976,word2vec
24,6,2,0.7493738336832804,word2vec
22,6,2,0.733714726228384,word2vec
27,6,2,0.7068071045753502,word2vec
25,6,2,0.7032790856076744,word2vec
23,6,2,0.7403912357854976,word2vec
26,6,4,0.4650258506114184,word2vec
21,6,2,0.7283426362948803,word2vec
24,6,2,0.7493738336832804,word2vec
22,6,16,0.212943383484277,word2vec
23,6,2,0.7403912357854976,word2vec
24,6,2,0.7493738336832804,word2vec
25,6,2,0.7032790856076744,word2vec
24,6,2,0.7493738336832804,word2vec
26,6,2,0.7017866805675116,word2vec
27,6,2,0.7068071045753502,word2vec
25,6,2,0.7032790856076744,word2vec
22,6,2,0.733714726228384,word2vec
23,6,2,0.7403912357854976,word2vec
24,6,2,0.7493738336832804,word2vec
28,6,2,0.7055388013520764,word2vec
24,6,2,0.7493738336832804,word2vec
24,6,2,0.7493738336832804,word2vec
26,6,2,0.7017866805675116,word2vec
21,6,2,0.7283426362948803,word2vec
23,6,2,0.7403912357854976,word2vec
25,6,2,0.7032790856076744,word2vec
22,6,2,0.733714726228384,word2vec
24,6,2,0.7493738336832804,word2vec
25,6,8,0.5519495111519972,word2vec
26,6,2,0.7017866805675116,word2vec
23,6,2,0.7403912357854976,word2vec
24,6,2,0.7493738336832804,word2vec
24,6,2,0.7493738336832804,word2vec
22,6,2,0.733714726228384,word2vec
27,6,2,0.7068071045753502,word2vec
50,6,4,0.5327885801133918,word2vec
25,6,2,0.7032790856076744,word2vec
23,6,2,0.7403912357854976,word2vec
21,6,2,0.7283426362948803,word2vec
26,6,2,0.7017866805675116,word2vec
24,6,2,0.7493738336832804,word2vec
23,6,2,0.7403912357854976,word2vec
25,6,16,0.07433288461785216,word2vec
24,6,2,0.7493738336832804,word2vec
22,6,2,0.733714726228384,word2vec
23,6,2,0.7403912357854976,word2vec
24,6,2,0.7493738336832804,word2vec
25,6,2,0.7032790856076744,word2vec
26,6,2,0.7017866805675116,word2vec
27,6,2,0.7068071045753502,word2vec
24,6,2,0.7493738336832804,word2vec
24,6,2,0.7493738336832804,word2vec
23,6,2,0.7403912357854976,word2vec
25,6,2,0.7032790856076744,word2vec
