min_cluster_size,rho,beta,umap_n_components,NMI,embedding
163,0.0523651611457248,0.3623402001992042,8,0.8286884393514214,BERT
159,0.18201278602224685,0.324076101426733,16,0.8304488638356303,BERT
175,0.24165884003613325,0.2918525740532049,4,0.8180949735423272,BERT
178,0.11491901570047694,0.335429934249479,16,0.8398055950270025,BERT
168,0.2797686397806146,0.30790937686120257,16,0.8460050568929314,BERT
168,0.2849788671964119,0.3097953406251198,16,0.8460050568929314,BERT
165,0.15480743702970037,0.30761876040981273,16,0.8460050568929314,BERT
168,0.2643963708877449,0.32096764237221065,16,0.8331882727368057,BERT
174,0.051175267424912435,0.3080957410131158,16,0.8460050568929314,BERT
157,0.3061734530448563,0.2934555431215034,16,0.8334262003778561,BERT
162,0.13893984860481196,0.33355375728449255,2,0.8043934166201034,BERT
43,0.22635551429367218,0.31599766705794435,16,0.7514521674076363,BERT
178,0.09085190976268981,0.34282997756936995,16,0.8394384222439251,BERT
170,0.280913849588887,0.29862715150228997,16,0.8460050568929314,BERT
166,0.15928993261457064,0.2778736430136289,16,0.8392092480217548,BERT
166,0.1681042186437806,0.308244862370987,16,0.8460050568929314,BERT
172,0.10814782253300831,0.3062936331473187,16,0.8460050568929314,BERT
161,0.19280553205753598,0.31857132041301633,16,0.8304488638356303,BERT
175,0.13375597043627385,0.2965747112088256,16,0.8423806300382333,BERT
152,0.08439568341404868,0.32739724791945346,16,0.8294934544566746,BERT
181,0.20790065485098047,0.30846089960340783,16,0.8423806300382335,BERT
166,0.32326783797283976,0.2842629880589599,16,0.8345067952566703,BERT
171,0.7469715251982425,0.31802640526559656,16,0.8196417346355744,BERT
158,0.15733549944669573,0.29796526138027646,16,0.8334262003778561,BERT
178,0.050301706827263745,0.3406785718489583,16,0.8394384222439251,BERT
175,0.05192981560696351,0.3103887589706402,16,0.8460050568929314,BERT
172,0.11845847294691511,0.30542701617134516,16,0.8460050568929314,BERT
164,0.1263672373878675,0.3243998260778982,16,0.8334871266107748,BERT
168,0.09072766333369922,0.295551509496111,16,0.8460050568929314,BERT
184,0.16528378776413113,0.31246452692977195,16,0.8423806300382335,BERT
173,0.24853345759113096,0.27156291974209196,8,0.820363256190806,BERT
163,0.08275493489761576,0.3289860608244495,16,0.8367577366048801,BERT
169,0.050224598981822736,0.28516593357418685,16,0.8435955711720591,BERT
177,0.20074601155089072,0.3531112502684424,16,0.8272089530794816,BERT
172,0.1409502806895039,0.3069370773721969,16,0.8460050568929314,BERT
168,0.26536708116920704,0.298516554324952,16,0.8460050568929314,BERT
181,0.2907989289426575,0.30152730572180436,16,0.8423806300382335,BERT
175,0.23457227461488858,0.3206718396354364,16,0.8447265179447687,BERT
161,0.1726988179332078,0.2925110820067792,4,0.8159328756307755,BERT
170,0.8365512791048826,0.3340350345151723,16,0.8101102120967829,BERT
164,0.3884206949485421,0.31457549446306016,16,0.8342212450334545,BERT
169,0.10233939879309265,0.28546828353780535,2,0.7324364033982415,BERT
156,0.30375372533460177,0.30267981948988937,16,0.8334262003778561,BERT
72,1.1238164716575703,0.325824131202237,16,0.6288588883184999,BERT
176,0.19889696024247375,0.3133501670557567,16,0.8453140236971874,BERT
166,0.1666898381941689,0.30692858308291027,16,0.8460050568929314,BERT
166,0.12702543610882128,0.2978032592288794,16,0.8460050568929314,BERT
172,0.08508887745692871,0.31681037038351606,16,0.8460050568929314,BERT
161,0.22527116456578117,0.30749115442828756,16,0.8334262003778561,BERT
180,0.1713278195584431,0.3347065995680243,16,0.8370526631748428,BERT
166,0.2674615523053285,0.2792999360841483,16,0.830456898311875,BERT
173,0.13195223627737324,0.3210525364784505,16,0.8447265179447687,BERT
169,0.33402468014622616,0.29281302887759375,16,0.8369678896897725,BERT
177,0.10944033833131794,0.3434177437000695,16,0.8384420620406433,BERT
159,0.19629521079254328,0.30796977210061316,16,0.8334262003778561,BERT
172,0.0857952983732205,0.3043791369312078,16,0.8460050568929314,BERT
171,0.14705585875194438,0.3131559891990689,16,0.8460050568929314,BERT
165,0.08352368417894396,0.32640189189817825,16,0.8320598504747593,BERT
173,0.05588757345617357,0.2957651854136025,16,0.8423806300382333,BERT
169,1.415692580157717,0.30690805239330116,16,0.7439002658085857,BERT
175,0.11518914646592437,0.2853656355170012,16,0.8380971543907628,BERT
183,0.16618376024073608,0.32065301167933224,16,0.8423806300382335,BERT
162,0.05137362128911635,0.33386287354087846,16,0.8373453812236004,BERT
167,0.22104325733489022,0.2605304919490414,8,0.8173001364867157,BERT
125,1.2693925833309796,0.5562885142186048,16,0.659746423118261,word2vec
77,1.66330202429224,0.36703268310023385,2,0.6065992527220362,word2vec
14,1.6460446038895926,0.17955571445148352,8,0.44144185772762096,word2vec
61,0.967970724594595,0.44602178613509635,16,0.622688756332501,word2vec
68,0.13777879878182916,0.3045721168988724,8,0.6912447189931239,word2vec
180,1.9285732608985233,0.333541842336079,2,0.6681558317326575,word2vec
62,1.523301669261534,0.218998815642907,4,0.5950035120565544,word2vec
17,1.5578262529563254,0.4813454979924784,16,0.4540260329901179,word2vec
130,0.9792917540305144,0.2820942966252684,8,0.6979423915331034,word2vec
56,1.475539909951689,0.45872139587488525,4,0.5763047507152435,word2vec
138,0.8340013157275107,0.12408151835587772,8,0.6946366157125665,word2vec
142,0.7596938068379371,0.10517298524592855,8,0.69596626734289,word2vec
169,0.6199896810510532,0.12216577487307995,8,0.698666958479139,word2vec
189,0.5648947763556502,0.2416856414119345,8,0.698666958479139,word2vec
192,0.5130650479756493,0.21241731552155702,8,0.698666958479139,word2vec
166,0.5109352360628309,0.16530683048748882,8,0.698666958479139,word2vec
161,0.10301362168821848,0.24750887100681757,8,0.6019823182303078,word2vec
103,0.5514283276377946,0.15542255285264006,2,0.6108849864689152,word2vec
193,0.2708567764428381,0.1053976258228681,4,0.6185184917864834,word2vec
169,1.1542626230314297,0.24502896202172605,8,0.6980591665129653,word2vec
103,0.7111038003995114,0.1875676657701999,8,0.7009407589194337,word2vec
104,0.7007946767556956,0.18447772426416548,8,0.709014753527805,word2vec
101,0.7105411043184972,0.17286525764316674,8,0.7009407589194337,word2vec
99,0.8085339800588803,0.1870365427102949,8,0.6984200488260314,word2vec
105,0.3042896625639394,0.16249119302041387,8,0.7151726187808229,word2vec
