min_cluster_size,min_samples,umap_n_components,NMI,embedding
162,82,8,0.7901865431880863,word2vec
160,84,8,0.7901865431880863,word2vec
151,89,8,0.774633948211228,word2vec
159,79,8,0.7901093492721879,word2vec
147,6,8,0.7229306632283972,word2vec
167,83,8,0.790536651344418,word2vec
155,96,8,0.4239152702972829,word2vec
172,89,16,0.7983986692880873,word2vec
170,89,16,0.7983986692880873,word2vec
172,92,16,0.7799933935425905,word2vec
172,89,16,0.7983986692880873,word2vec
175,88,16,0.7970435687059104,word2vec
176,89,16,0.7983986692880873,word2vec
176,89,16,0.7983986692880873,word2vec
178,101,16,0.4239152702972829,word2vec
175,97,16,0.7149718413258935,word2vec
172,90,16,0.7757519324426673,word2vec
180,93,16,0.7241754180533032,word2vec
171,88,16,0.7970435687059104,word2vec
167,147,16,0.46021863685472875,tfidf
109,164,16,0.46021863685472875,tfidf
52,98,2,0.4472525111571311,tfidf
125,6,8,0.6447310664138843,tfidf
81,144,2,0.4472525111571311,tfidf
102,146,16,0.46021863685472875,tfidf
5,61,8,0.4016874583138918,tfidf
152,81,4,0.46021863685472875,tfidf
95,174,8,0.45773391979045364,tfidf
187,44,8,0.45773391979045364,tfidf
135,12,4,0.6404033164462827,tfidf
142,9,4,0.7219707794912474,tfidf
126,15,4,0.6246698616907305,tfidf
194,37,4,0.46021863685472875,tfidf
71,5,8,0.6088595894387343,tfidf
152,38,4,0.46021863685472875,tfidf
134,75,8,0.45773391979045364,tfidf
38,103,2,0.4472525111571311,tfidf
171,27,4,0.46021863685472875,tfidf
122,58,8,0.45773391979045364,tfidf
151,116,4,0.46021863685472875,tfidf
137,6,4,0.6681348898890872,tfidf
115,24,4,0.4145371774826091,tfidf
139,6,4,0.6681348898890872,tfidf
170,194,4,0.46021863685472875,tfidf
143,50,4,0.46021863685472875,tfidf
169,27,4,0.46021863685472875,tfidf
85,22,4,0.40600470124407195,tfidf
157,67,4,0.46021863685472875,tfidf
140,30,16,0.46021863685472875,tfidf
181,126,4,0.46021863685472875,tfidf
123,5,8,0.6451438113604681,tfidf
108,15,16,0.4139593539034383,tfidf
119,7,2,0.604744763855841,tfidf
160,50,8,0.45773391979045364,tfidf
132,17,2,0.40342231480485863,tfidf
94,40,16,0.4050927639510378,tfidf
109,5,4,0.6761939367586871,tfidf
109,28,4,0.4145371774826091,tfidf
71,17,4,0.4056011010356597,tfidf
99,86,4,0.46021863685472875,tfidf
146,6,4,0.7323624842142352,tfidf
143,33,4,0.46021863685472875,tfidf
145,5,4,0.7326195789366184,tfidf
161,16,4,0.46021863685472875,tfidf
130,46,4,0.46021863685472875,tfidf
147,18,4,0.46021863685472875,tfidf
177,158,4,0.46021863685472875,tfidf
8,10,2,0.42764745674713056,tfidf
111,34,4,0.46021863685472875,tfidf
128,58,16,0.46021863685472875,tfidf
139,5,4,0.6682172647887807,tfidf
154,11,4,0.7176366729676941,tfidf
155,22,4,0.46021863685472875,tfidf
163,12,4,0.7078135868473611,tfidf
187,12,4,0.7078135868473611,tfidf
187,14,4,0.46021863685472875,tfidf
194,41,4,0.46021863685472875,tfidf
165,24,4,0.46021863685472875,tfidf
177,21,4,0.46021863685472875,tfidf
152,31,2,0.4472525111571311,tfidf
187,12,4,0.7078135868473611,tfidf
184,11,4,0.7176366729676941,tfidf
175,12,4,0.7078135868473611,tfidf
184,23,4,0.46021863685472875,tfidf
162,11,4,0.7176366729676941,tfidf
163,36,4,0.46021863685472875,tfidf
147,20,4,0.46021863685472875,tfidf
169,10,4,0.7176366729676941,tfidf
172,29,8,0.45773391979045364,tfidf
149,10,16,0.46021863685472875,tfidf
166,11,4,0.7176366729676941,tfidf
168,26,4,0.46021863685472875,tfidf
157,17,4,0.46021863685472875,tfidf
181,132,4,0.46021863685472875,tfidf
144,8,4,0.7224784455797587,tfidf
136,5,4,0.6682172647887807,tfidf
154,105,4,0.46021863685472875,tfidf
145,19,4,0.46021863685472875,tfidf
195,46,2,0.4472525111571311,tfidf
174,8,4,0.7224784455797587,tfidf
159,8,4,0.7224784455797587,tfidf
159,8,4,0.7224784455797587,tfidf
158,17,4,0.46021863685472875,tfidf
151,7,4,0.7227946935484468,tfidf
133,6,8,0.6731823540716636,tfidf
141,27,4,0.46021863685472875,tfidf
149,21,16,0.46021863685472875,tfidf
144,181,4,0.46021863685472875,tfidf
124,8,4,0.6452648954852555,tfidf
153,16,4,0.46021863685472875,tfidf
159,14,4,0.711978665511545,tfidf
172,5,4,0.7326195789366184,tfidf
173,6,4,0.7323624842142352,tfidf
174,5,4,0.7326195789366184,tfidf
175,5,4,0.7326195789366184,tfidf
174,6,4,0.7323624842142352,tfidf
