n_clusters,epsilon,umap_n_components,NMI,embedding
6,0.11435163328703099,2,0.0,BERT
6,0.3452813033007969,8,0.0,BERT
6,0.15807569259908272,16,0.0,BERT
6,0.09282856327105686,2,0.0,BERT
6,0.2916737762565592,4,0.0,BERT
6,0.5717721466440625,8,0.0,BERT
6,0.1779836227344801,16,0.0,BERT
6,0.5235909839792269,16,0.0,BERT
6,0.4686110104463742,16,0.0,BERT
6,0.38925185412805224,16,0.0,BERT
6,0.4087817195194066,16,0.0,BERT
6,0.4552921157862847,2,0.0,BERT
6,0.32565452890924707,16,0.0,BERT
6,0.6486943746749606,2,0.0,BERT
6,0.42621375703860137,8,0.0,BERT
6,0.5375597117170453,4,0.0,BERT
6,0.49803868218816366,16,0.0,BERT
6,0.36842265477210984,2,0.0,BERT
6,0.5100051205848055,2,0.0,BERT
6,0.43106727360548436,2,0.0,BERT
6,0.9365405167503552,2,0.0,BERT
6,0.5580066403534637,2,0.0,BERT
6,0.8632253080305343,16,0.0,BERT
6,0.7975030808924338,2,0.0,BERT
6,0.3439926547572123,8,0.0,BERT
6,0.48947784005460837,4,0.0,BERT
6,0.03923252853933955,16,0.0,BERT
6,0.6874324822099778,8,0.0,BERT
6,0.2742376274992991,8,0.0,BERT
6,0.7284662223778047,8,0.0,BERT
6,0.603858374772836,8,0.0,BERT
6,0.38971820002177493,2,0.0,BERT
6,0.30930022433109516,16,0.0,BERT
6,0.4552788338061303,8,0.0,BERT
6,0.6176348705041369,2,0.0,BERT
6,0.6744916555281103,4,0.0,BERT
6,0.64328134465043,16,0.0,BERT
6,0.5876173049063096,4,0.0,BERT
6,0.6183780748384595,4,0.0,BERT
6,0.5609348715115374,4,0.0,BERT
6,0.20953663958720845,4,0.0,BERT
6,0.7194292037163347,2,0.0,BERT
6,0.07758193456033327,16,0.0,BERT
6,0.6598322194093286,8,0.0,BERT
6,0.5836777862435174,4,0.0,BERT
6,0.5470836950634115,2,0.0,BERT
6,0.7811178105132076,16,0.0,BERT
6,0.2510524889478436,2,0.0,BERT
6,0.294613394235524,2,0.0,BERT
6,0.9386598204582677,2,0.0,BERT
