k,nc,umap_n_components,NMI,embedding
30,6,8,0.6974405907321894,word2vec
46,6,4,0.7609037730344443,word2vec
46,6,2,0.6822054705368117,word2vec
45,6,2,0.7033689482047651,word2vec
22,6,2,0.7259148748172284,word2vec
29,6,8,0.6979730754878292,word2vec
22,6,8,0.7357811486381793,word2vec
12,6,16,0.7229612379977662,word2vec
39,6,4,0.7614502425347915,word2vec
39,6,4,0.7614502425347915,word2vec
37,6,4,0.7614502425347914,word2vec
36,6,4,0.6877289162518383,word2vec
38,6,4,0.761740650468196,word2vec
40,6,4,0.7620096170968043,word2vec
49,6,4,0.7614502425347915,word2vec
33,6,4,0.6873158615486052,word2vec
6,6,4,0.6242149425279598,word2vec
42,6,16,0.7593091283723621,word2vec
50,6,4,0.7605136346105298,word2vec
41,6,4,0.7620096170968043,word2vec
34,6,4,0.6877289162518383,word2vec
41,6,4,0.7620096170968043,word2vec
43,6,4,0.7606959426362577,word2vec
41,6,4,0.7620096170968043,word2vec
33,6,4,0.6873158615486052,word2vec
25,6,8,0.7310546602942258,word2vec
48,6,16,0.7550305040557663,word2vec
42,6,16,0.7593091283723621,word2vec
31,6,4,0.7317325054319896,word2vec
41,6,4,0.7620096170968043,word2vec
45,6,4,0.7609037730344443,word2vec
35,6,4,0.6879014533594756,word2vec
39,6,4,0.7614502425347915,word2vec
44,6,2,0.7038423894578489,word2vec
41,6,4,0.7620096170968043,word2vec
47,6,8,0.7508051131610207,word2vec
25,6,2,0.7271233136755352,word2vec
15,6,4,0.7603318007896541,word2vec
28,6,2,0.7271233136755352,word2vec
41,6,4,0.7620096170968043,word2vec
46,6,4,0.7609037730344443,word2vec
40,6,4,0.7620096170968043,word2vec
31,6,4,0.7317325054319896,word2vec
36,6,8,0.7676810544999377,word2vec
37,6,8,0.7529401641117268,word2vec
44,6,8,0.7559369068651426,word2vec
36,6,8,0.7676810544999377,word2vec
37,6,8,0.7529401641117268,word2vec
35,6,8,0.7707418817633612,word2vec
36,6,8,0.7676810544999377,word2vec
35,6,8,0.7707418817633612,word2vec
35,6,8,0.7707418817633612,word2vec
32,6,8,0.6974405907321894,word2vec
35,6,8,0.7707418817633612,word2vec
29,6,8,0.6979730754878292,word2vec
35,6,8,0.7707418817633612,word2vec
34,6,8,0.7694185063656224,word2vec
34,6,8,0.7694185063656224,word2vec
30,6,8,0.6974405907321894,word2vec
34,6,8,0.7694185063656224,word2vec
33,6,8,0.6974405907321894,word2vec
27,6,8,0.7300808398717625,word2vec
38,6,8,0.6866371841329337,word2vec
35,6,8,0.7707418817633612,word2vec
32,6,8,0.6974405907321894,word2vec
35,6,8,0.7707418817633612,word2vec
23,6,8,0.7357811486381793,word2vec
38,6,8,0.6866371841329337,word2vec
30,6,8,0.6974405907321894,word2vec
35,6,8,0.7707418817633612,word2vec
35,6,8,0.7707418817633612,word2vec
39,6,8,0.7591800930387583,word2vec
32,6,16,0.6848903746387032,word2vec
36,6,8,0.7676810544999377,word2vec
35,6,8,0.7707418817633612,word2vec
33,6,8,0.6974405907321894,word2vec
31,6,8,0.6979336471573917,word2vec
19,6,8,0.7233039253321488,word2vec
38,6,2,0.6990740841858533,word2vec
35,6,8,0.7707418817633612,word2vec
35,6,8,0.7707418817633612,word2vec
37,6,8,0.7529401641117268,word2vec
29,6,16,0.7308648023346357,word2vec
39,6,8,0.7591800930387583,word2vec
33,6,8,0.6974405907321894,word2vec
37,6,8,0.7529401641117268,word2vec
5,6,8,0.7187515290213334,word2vec
40,6,8,0.7592809676087294,word2vec
31,6,8,0.6979336471573917,word2vec
35,6,8,0.7707418817633612,word2vec
35,6,8,0.7707418817633612,word2vec
34,6,8,0.7694185063656224,word2vec
37,6,8,0.7529401641117268,word2vec
33,6,8,0.6974405907321894,word2vec
35,6,2,0.7271233136755352,word2vec
32,6,8,0.6974405907321894,word2vec
