n_clusters,umap_n_components,NMI,embedding
2,8,0.475068447954002,fasttext
6,4,0.8326524914688519,fasttext
6,4,0.8111486294231113,fasttext
5,16,0.8475686668938278,fasttext
4,8,0.7766720606197566,fasttext
4,16,0.7766720606197566,fasttext
4,2,0.7906097562653296,fasttext
5,2,0.8414997117446879,fasttext
3,8,0.6934790363775976,fasttext
5,16,0.8475686668938275,fasttext
5,16,0.8475686668938278,fasttext
5,16,0.8475686668938277,fasttext
5,16,0.8475686668938276,fasttext
6,16,0.8355599382909094,fasttext
3,16,0.6934790363775976,fasttext
5,16,0.8475686668938277,fasttext
3,16,0.6934790363775976,fasttext
6,2,0.8295774871133612,fasttext
5,4,0.8434002306858845,fasttext
4,16,0.7766720606197566,fasttext
5,16,0.8475686668938276,fasttext
5,16,0.8475686668938276,fasttext
6,16,0.8355599382909094,fasttext
5,16,0.8475686668938278,fasttext
4,16,0.7766720606197566,fasttext
5,16,0.8475686668938276,fasttext
6,4,0.8314506717622261,fasttext
5,2,0.841499711744688,fasttext
4,8,0.7766720606197566,fasttext
6,16,0.8355599382909094,fasttext
5,16,0.8475686668938275,fasttext
5,16,0.8475686668938278,fasttext
2,16,0.475068447954002,fasttext
4,16,0.7766720606197566,fasttext
6,4,0.8326524914688518,fasttext
5,8,0.8454581681909334,fasttext
5,16,0.8475686668938276,fasttext
4,16,0.7766720606197566,fasttext
6,2,0.8295774871133612,fasttext
5,8,0.8454581681909334,fasttext
5,16,0.8475686668938276,fasttext
5,16,0.8475686668938276,fasttext
5,16,0.8475686668938278,fasttext
4,16,0.7766720606197566,fasttext
5,4,0.8434002306858845,fasttext
6,16,0.8355599382909092,fasttext
5,16,0.8475686668938277,fasttext
4,16,0.7766720606197566,fasttext
5,2,0.8414997117446879,fasttext
2,16,0.475068447954002,fasttext
5,16,0.8475686668938278,fasttext
5,16,0.8475686668938275,fasttext
5,16,0.8475686668938276,fasttext
5,16,0.8475686668938277,fasttext
5,16,0.8475686668938275,fasttext
6,8,0.8334795285563291,fasttext
5,16,0.8475686668938277,fasttext
3,16,0.6934790363775976,fasttext
4,4,0.7754219867303539,fasttext
6,16,0.8355599382909094,fasttext
5,16,0.8475686668938278,fasttext
5,16,0.8475686668938276,fasttext
5,16,0.8475686668938276,fasttext
5,16,0.8475686668938277,fasttext
5,16,0.8475686668938275,fasttext
5,16,0.8475686668938278,fasttext
5,2,0.8414997117446879,fasttext
4,16,0.7766720606197566,fasttext
5,16,0.8475686668938278,fasttext
5,8,0.8454581681909336,fasttext
5,16,0.8475686668938276,fasttext
5,16,0.8475686668938277,fasttext
5,16,0.8475686668938278,fasttext
5,16,0.8475686668938276,fasttext
5,16,0.8475686668938276,fasttext
6,16,0.8355599382909092,fasttext
5,4,0.8434002306858847,fasttext
4,16,0.7766720606197566,fasttext
6,16,0.8355599382909094,fasttext
5,2,0.8414997117446879,fasttext
5,16,0.8475686668938278,fasttext
5,16,0.8475686668938276,fasttext
5,16,0.8475686668938276,fasttext
5,16,0.8475686668938275,fasttext
5,16,0.8475686668938275,fasttext
5,16,0.8475686668938275,fasttext
4,16,0.7766720606197566,fasttext
5,16,0.8475686668938277,fasttext
5,8,0.8454581681909334,fasttext
6,16,0.8355599382909095,fasttext
5,16,0.8475686668938275,fasttext
5,16,0.847568666893828,fasttext
5,16,0.8475686668938278,fasttext
5,16,0.8475686668938278,fasttext
5,16,0.8475686668938276,fasttext
5,4,0.8434002306858847,fasttext
5,16,0.8475686668938278,fasttext
5,16,0.8475686668938275,fasttext
5,16,0.8475686668938277,fasttext
4,2,0.7906097562653297,fasttext
5,16,0.8475686668938277,fasttext
5,16,0.8475686668938276,fasttext
5,16,0.8475686668938278,fasttext
5,16,0.8475686668938276,fasttext
5,16,0.8475686668938275,fasttext
5,16,0.8475686668938276,fasttext
5,16,0.8475686668938276,fasttext
5,16,0.8475686668938276,fasttext
5,8,0.8454581681909334,fasttext
5,16,0.8475686668938278,fasttext
5,16,0.8475686668938278,fasttext
5,16,0.8475686668938275,fasttext
5,16,0.8475686668938275,fasttext
5,16,0.8475686668938278,fasttext
5,16,0.8475686668938277,fasttext
5,16,0.8475686668938278,fasttext
5,4,0.8434002306858847,fasttext
3,16,0.6934790363775976,fasttext
5,16,0.8475686668938276,fasttext
5,16,0.8475686668938276,fasttext
5,16,0.8475686668938277,fasttext
5,16,0.8475686668938275,fasttext
5,16,0.8475686668938276,fasttext
5,16,0.8475686668938277,fasttext
5,16,0.8475686668938278,fasttext
5,2,0.8414997117446877,fasttext
5,16,0.8475686668938278,fasttext
5,16,0.8475686668938276,fasttext
5,16,0.8475686668938278,fasttext
5,16,0.8475686668938276,fasttext
5,16,0.8475686668938276,fasttext
5,16,0.8475686668938276,fasttext
5,16,0.8475686668938276,fasttext
5,16,0.8475686668938276,fasttext
5,16,0.8475686668938277,fasttext
5,16,0.8475686668938276,fasttext
5,8,0.8454581681909336,fasttext
5,16,0.8475686668938276,fasttext
2,16,0.475068447954002,fasttext
6,16,0.8355599382909094,fasttext
5,16,0.8475686668938277,fasttext
5,16,0.8475686668938276,fasttext
5,16,0.8475686668938278,fasttext
5,4,0.8434002306858845,fasttext
5,16,0.8475686668938275,fasttext
5,16,0.8475686668938276,fasttext
5,16,0.847568666893828,fasttext
5,16,0.8475686668938276,fasttext
5,16,0.8475686668938277,fasttext
5,2,0.8414997117446879,fasttext
5,16,0.8475686668938276,fasttext
