min_samples,eps,umap_n_components,NMI,embedding
5,0.7753478893821062,4,0.8094773084323799,BERT
5,0.9220018704846922,4,0.7316300708399065,BERT
8,0.8597288251107928,2,0.5835316442747802,BERT
6,0.8235730580442664,4,0.8094773084323799,BERT
5,0.7590344708519536,4,0.8094773084323799,BERT
10,0.7937174964925109,16,0.7290705720770341,BERT
5,0.8542018686664514,4,0.8094773084323799,BERT
10,0.747272765564803,4,0.8094773084323799,BERT
9,0.7067443624096563,4,0.8094773084323799,BERT
9,0.8202412315117951,4,0.8094773084323799,BERT
5,0.8878195521945236,4,0.7316300708399065,BERT
8,0.7858356936907394,4,0.8094773084323799,BERT
7,0.8730994788709083,4,0.7316300708399065,BERT
5,0.9088251791698632,4,0.7316300708399065,BERT
5,0.7286194555301438,4,0.8094773084323799,BERT
10,0.7498412964056811,2,0.5835316442747803,BERT
5,0.8173846571612321,4,0.8094773084323799,BERT
6,0.8468121892428052,4,0.8094773084323799,BERT
7,0.7857897194541629,4,0.8094773084323799,BERT
5,0.7636713359451055,4,0.8094773084323799,BERT
6,0.8101767709319324,4,0.8094773084323799,BERT
6,0.8335270308620977,4,0.8094773084323799,BERT
5,0.8621552718509307,4,0.8094773084323799,BERT
5,0.7885053661215475,16,0.7290705720770341,BERT
5,0.7038169069729773,8,0.809072830008703,BERT
7,0.9420527897664367,4,0.7316300708399065,BERT
5,0.9016043677626501,4,0.7316300708399065,BERT
5,0.8669680820375084,4,0.7316300708399065,BERT
5,0.8340166784913534,4,0.8094773084323799,BERT
5,0.8486437870297541,4,0.8094773084323799,BERT
5,0.8032247750088479,4,0.8094773084323799,BERT
6,0.8824067304041461,4,0.7316300708399065,BERT
5,0.7711726549645114,4,0.8094773084323799,BERT
5,0.8201986690615324,4,0.8094773084323799,BERT
5,0.8007160026134782,2,0.5835316442747802,BERT
5,0.9160621343519078,4,0.7316300708399065,BERT
6,0.7287877620133507,4,0.8094773084323799,BERT
5,0.8618708379623768,4,0.8094773084323799,BERT
5,0.8384437353547592,4,0.8094773084323799,BERT
5,0.8963473708667722,4,0.7316300708399065,BERT
5,0.8541340207241895,4,0.8094773084323799,BERT
5,0.8203763463004585,4,0.8094773084323799,BERT
5,0.8780254870857706,4,0.7316300708399065,BERT
5,0.7523912778405123,16,0.7290705720770341,BERT
5,0.8003162851049714,4,0.8094773084323799,BERT
6,0.8441516229383842,8,0.6374535886779277,BERT
8,0.7774192283912016,4,0.8094773084323799,BERT
6,0.7886691994272277,4,0.8094773084323799,BERT
6,0.8241342086833443,4,0.8094773084323799,BERT
7,0.8705695782178172,4,0.7316300708399065,BERT
5,0.7611539600080799,4,0.8094773084323799,BERT
6,0.8013849579185186,4,0.8094773084323799,BERT
5,0.8927781898765885,4,0.7316300708399065,BERT
6,0.7456593451803862,4,0.8094773084323799,BERT
5,0.8499858166569594,4,0.8094773084323799,BERT
5,0.8285990260372671,2,0.5835316442747802,BERT
6,0.7770936739940332,4,0.8094773084323799,BERT
5,0.8141249503518017,4,0.8094773084323799,BERT
5,0.8138232276392113,4,0.8094773084323799,BERT
5,0.863627017574414,4,0.8094773084323799,BERT
8,0.8356252739269744,4,0.8094773084323799,BERT
5,0.7914202064313183,4,0.8094773084323799,BERT
5,0.7695181315933745,4,0.8094773084323799,BERT
5,0.6918915340545925,4,0.8094773084323799,BERT
5,0.7315316032519846,4,0.8094773084323799,BERT
9,0.9189334720762123,16,0.7290705720770341,BERT
10,0.8497983272478911,4,0.8094773084323799,BERT
