min_samples,xi,umap_n_components,NMI,embedding
108,0.12416011047919231,16,0.8550414433959462,BERT
110,0.010730201286353408,16,0.6009513908143115,BERT
85,0.11554961981954483,16,0.8503356955838625,BERT
68,0.10221178317171868,4,0.8185865434344647,BERT
195,0.1773406056558148,16,0.757784384747167,BERT
85,0.0462918692995221,8,0.6454417626168898,BERT
117,0.11720418339862794,16,0.8539182680994442,BERT
127,0.21924225422792823,16,0.6632527304096081,BERT
117,0.08201775788853717,16,0.8457826934044261,BERT
106,0.12122662509712735,16,0.8550414433959462,BERT
105,0.17121793201745902,16,0.7831461357622188,BERT
110,0.12223690261030008,16,0.8550414433959462,BERT
111,0.03096309549311041,16,0.7208047573434578,BERT
124,0.08101140366737278,16,0.8450914814675136,BERT
116,0.1250623161316411,16,0.8539182680994442,BERT
132,0.18049644934437561,2,0.6233703204252105,BERT
140,0.06307194564801014,16,0.8384274979235466,BERT
106,0.22105755744396077,4,0.7838679371079711,BERT
121,0.10441610859434475,16,0.8539182680994442,BERT
116,0.126595452929784,16,0.8539182680994442,BERT
94,0.1447790590872067,16,0.8447171395358645,BERT
109,0.1608132141201087,16,0.8409714625602229,BERT
116,0.1285646308560868,16,0.8539182680994442,BERT
129,0.19914146068933117,16,0.780942427492743,BERT
105,0.02523034382757272,16,0.6667995407384284,BERT
121,0.0854244943587811,16,0.8457826934044261,BERT
97,0.11462931538339566,8,0.7832400747482068,BERT
113,0.05365188314581919,2,0.6937773992553257,BERT
91,0.1781149227834903,16,0.8486443472713087,BERT
123,0.09850087125269162,16,0.8462355650354607,BERT
118,0.14141374365687293,16,0.8539182680994442,BERT
146,0.10543732732479101,16,0.8518063123188581,BERT
104,0.0716445289373405,16,0.8055950081183942,BERT
129,0.1605265924309687,16,0.780942427492743,BERT
113,0.11858804803591926,16,0.8550414433959462,BERT
109,0.03612245681690676,16,0.8219176523278067,BERT
100,0.1281772379289329,16,0.8486443472713087,BERT
114,0.1987542478607539,4,0.7838679371079711,BERT
76,0.26775592745229404,16,0.6962990542511888,BERT
123,0.08954418868439917,16,0.8457826934044261,BERT
136,0.11755749489465582,16,0.8525026266080074,BERT
118,0.14581787942566546,16,0.8539182680994442,BERT
110,0.06140737488207218,16,0.8468832706816485,BERT
126,0.10961731374005577,16,0.8532001533063894,BERT
121,0.1676151457436259,8,0.7767233927293964,BERT
104,0.08123469692160118,16,0.8435179380604846,BERT
31,0.14286037186648348,16,0.769087329208565,BERT
113,0.011408206028248338,2,0.6459968784868585,BERT
133,0.04677737746478418,16,0.8175211391222384,BERT
118,0.11978102582670992,16,0.8539182680994442,BERT
107,0.13156349431219008,16,0.8550414433959462,BERT
94,0.08816452115960786,16,0.8443026451298598,BERT
108,0.16579442076008666,16,0.8409714625602229,BERT
98,0.10045249506368317,16,0.8439346681826974,BERT
102,0.13703931690694302,16,0.8486443472713087,BERT
113,0.06742894359784316,16,0.8468832706816485,BERT
90,0.19236087251808012,16,0.8199117259051165,BERT
15,0.11685224009981098,4,0.3295385214040935,BERT
107,0.15757680161566354,16,0.8409714625602229,BERT
116,0.12997402974322061,16,0.8539182680994442,BERT
125,0.1783212478387708,16,0.780942427492743,BERT
119,0.09970998261659592,16,0.8462355650354607,BERT
130,0.07601128150090408,16,0.8431958871657043,BERT
110,0.13960993036986144,16,0.8550414433959462,BERT
111,0.14861629028383233,16,0.8550414433959462,BERT
102,0.20911248812194355,16,0.8205926943861913,BERT
111,0.15235247118841275,8,0.8418625763724099,BERT
96,0.1404102991879368,16,0.8486443472713087,BERT
107,0.054686058662386516,2,0.6962852426971788,BERT
114,0.10557889503654544,16,0.8543250358696497,BERT
112,0.11510125733122065,16,0.8550414433959462,BERT
111,0.08428632446289497,16,0.8468832706816485,BERT
105,0.11130454794067574,16,0.8550414433959462,BERT
100,0.03058121859926148,16,0.6410905002620263,BERT
105,0.18032052913743873,16,0.7831461357622188,BERT
108,0.0991538019321463,16,0.8473384383855574,BERT
113,0.1576966337895891,16,0.8409714625602229,BERT
87,0.22986331751654965,16,0.766335405843435,BERT
98,0.13828432405339716,16,0.8486443472713087,BERT
103,0.11429475381275603,16,0.8486443472713087,BERT
121,0.06931101354428337,16,0.8457826934044261,BERT
115,0.11916758553202995,16,0.8550414433959462,BERT
114,0.0913089006349766,16,0.8466468600191456,BERT
106,0.12939071225767113,16,0.8550414433959462,BERT
109,0.13798843470761207,16,0.8550414433959462,BERT
107,0.17251488285542158,16,0.7831461357622188,BERT
103,0.20294959393017914,16,0.8205926943861913,BERT
93,0.12667395922061503,4,0.8452172869182624,BERT
110,0.1486516479106163,16,0.8550414433959462,BERT
110,0.14640819357905466,16,0.8550414433959462,BERT
110,0.15266520893590252,16,0.8550414433959462,BERT
98,0.18735547511903913,16,0.8205926943861913,BERT
106,0.130354564763458,16,0.8550414433959462,BERT
110,0.16139108464362376,16,0.8409714625602229,BERT
101,0.1378279980663853,16,0.8486443472713087,BERT
119,0.1718197099149199,16,0.780942427492743,BERT
105,0.21085607744759097,16,0.7831461357622188,BERT
96,0.11832628787955542,16,0.8486443472713087,BERT
114,0.14350010021061121,16,0.8543250358696497,BERT
110,0.15249060544956514,16,0.8550414433959462,BERT
110,0.38111061544292363,16,0.49463332914797253,BERT
