perplexity,MinPts,probability,umap_n_components,NMI,embedding
25,9,0.9970135727139067,4,0.6413716726081037,BERT
16,17,0.997023774899004,16,0.8077409941169044,BERT
13,18,0.9970090959325365,4,0.7771814695179228,BERT
22,6,0.9970300009837545,4,0.7357567100815562,BERT
14,12,0.9970344046940289,4,0.8053553889959185,BERT
16,20,0.9970042595051244,4,0.7771108101975496,BERT
19,14,0.9970172127204926,4,0.8138781367737721,BERT
18,14,0.9970215224359846,4,0.8138781367737721,BERT
18,13,0.9970164047329072,4,0.8138781367737721,BERT
20,11,0.9970195121223636,4,0.8138781367737721,BERT
19,16,0.9970373996855115,4,0.8138781367737721,BERT
17,9,0.9970135241894734,4,0.7357567100815562,BERT
23,12,0.9970071938102998,4,0.7357567100815562,BERT
22,15,0.9970238732981387,4,0.8138781367737721,BERT
21,10,0.9970119169065551,4,0.7357567100815562,BERT
19,17,0.9970273041056291,4,0.8094773084323796,BERT
16,10,0.9970360110824955,4,0.8138781367737721,BERT
17,11,0.9970394867875044,4,0.8138781367737721,BERT
15,8,0.9970415354502038,4,0.8138781367737721,BERT
14,10,0.9970314052680092,4,0.8053553889959185,BERT
16,9,0.9970341136558795,4,0.8138781367737721,BERT
17,19,0.9970329629809672,2,0.7780856849514327,BERT
15,16,0.9970184591561494,4,0.7857541764143564,BERT
24,17,0.9970434132572034,4,0.7357567100815562,BERT
22,11,0.9970367989478792,16,0.7290705720770341,BERT
18,8,0.9970208377099706,4,0.7357567100815562,BERT
16,11,0.9970294686929083,4,0.8138781367737721,BERT
16,13,0.9970309629578573,4,0.8053553889959185,BERT
23,12,0.9970277296893081,4,0.7357567100815562,BERT
17,14,0.9970259151112827,4,0.8138781367737721,BERT
16,9,0.9970353478754975,4,0.8138781367737721,BERT
15,10,0.9970298907446348,4,0.8053553889959185,BERT
14,18,0.9970153367532356,4,0.7877241412602535,BERT
21,15,0.9970320980244767,4,0.8138781367737721,BERT
18,11,0.9970246916057619,4,0.8138781367737721,BERT
15,12,0.9970223000134485,4,0.8053553889959185,BERT
15,10,0.9970344933535531,4,0.8053553889959185,BERT
17,9,0.9970385378743283,4,0.7357567100815562,BERT
16,7,0.9970328481537661,4,0.7357567100815562,BERT
15,9,0.9970278803966549,4,0.8138781367737721,BERT
23,8,0.9970002119688387,4,0.7357567100815562,BERT
22,16,0.9970359804874406,4,0.8138781367737721,BERT
17,10,0.9970303508179077,4,0.8138781367737721,BERT
16,11,0.9970087634914897,4,0.8138781367737721,BERT
20,18,0.9970400439205656,4,0.8138781367737722,BERT
20,19,0.9970114238888527,4,0.8068352507343511,BERT
19,17,0.9970340339201321,4,0.8094773084323796,BERT
21,18,0.9970377884520827,4,0.8138781367737722,BERT
21,18,0.9970389167374463,4,0.8138781367737722,BERT
21,19,0.9970401247439391,4,0.8068352507343511,BERT
20,18,0.997043213654234,4,0.8138781367737722,BERT
20,18,0.9970482635766307,2,0.5782395956079047,BERT
21,18,0.9970430033267403,4,0.8138781367737722,BERT
21,20,0.9970422510466955,4,0.8068352507343511,BERT
22,18,0.9970451119796095,4,0.8138781367737722,BERT
22,18,0.9970403081735228,4,0.8138781367737722,BERT
22,18,0.9970451739799956,4,0.8138781367737722,BERT
21,18,0.997043825759773,4,0.8138781367737722,BERT
22,18,0.9970433351534383,4,0.8138781367737722,BERT
22,18,0.9970454508891108,4,0.8138781367737722,BERT
22,18,0.9970448656226202,4,0.8138781367737722,BERT
22,18,0.9970467900787259,4,0.8138781367737722,BERT
22,18,0.9970449910868743,4,0.8138781367737722,BERT
22,18,0.9970452057216315,4,0.8138781367737722,BERT
22,18,0.997045508382331,4,0.8138781367737722,BERT
17,22,0.9970329003411067,4,0.5981548900444721,word2vec
18,8,0.9970743412968341,8,0.6019823182303079,word2vec
27,8,0.997089805961488,16,0.4250175972286361,word2vec
16,13,0.9970941795888763,2,0.5925085779648483,word2vec
5,1,0.9970511524730972,16,0.6435733158330283,word2vec
11,26,0.9970290389996855,4,0.560343181952804,word2vec
28,27,0.9970747547839333,2,0.6221350634666473,word2vec
5,15,0.9970495809486908,8,0.2962927220443112,word2vec
19,3,0.9970613853583004,4,0.627680280021421,word2vec
4,19,0.9970992493805894,4,0.0,word2vec
