bandwidth,umap_n_components,NMI,embedding
0.8794432011907438,2,0.7038504037273932,BERT
0.8694795631681745,16,0.7332855214944972,BERT
0.9092653604645474,16,0.7330266240562429,BERT
0.8301946210955078,16,0.7157252784058107,BERT
0.8104652229415336,16,0.6992712508172474,BERT
0.8692570985813336,16,0.7332855214944972,BERT
0.8716983799149802,16,0.7330818218137439,BERT
0.837814007297618,16,0.7159600365575551,BERT
0.7887734661351673,16,0.6862911339310771,BERT
0.7365611717096965,16,0.6745768625693674,BERT
0.8487365637154731,16,0.7294276276902778,BERT
0.8845770278335982,16,0.7332640805085437,BERT
0.8807159039830205,16,0.7332640805085437,BERT
0.8808042275065759,16,0.7332640805085437,BERT
0.8093685377532414,16,0.6991046906621745,BERT
0.8495942803792069,16,0.7284000910843782,BERT
0.7740016622387401,4,0.6905553805234734,BERT
0.8912155062740552,16,0.7332434148432804,BERT
0.8632828141746433,16,0.7332855214944972,BERT
0.8461250253592907,2,0.687949595821674,BERT
0.7966167374504448,16,0.6857316385531895,BERT
0.8619367426006915,16,0.7332855214944972,BERT
0.8653177307207254,16,0.7332640805085437,BERT
0.9080963784146118,16,0.7311253949143495,BERT
0.830224861095022,16,0.7157252784058107,BERT
0.8018756194348764,8,0.690018390376406,BERT
0.859900221716815,16,0.7336328062168522,BERT
0.7716230431568034,16,0.6841416413635014,BERT
0.8608207143398554,16,0.7336328062168522,BERT
0.8326345853261226,16,0.7162047740104491,BERT
0.750135238114898,16,0.6693671306021588,BERT
0.8605513504371564,16,0.7336328062168522,BERT
0.8623934247472745,16,0.7332855214944972,BERT
0.892992302353908,16,0.7332434148432804,BERT
0.8138483903899448,16,0.6992712508172474,BERT
0.8420846922283677,4,0.7318191820369373,BERT
0.8951354629372101,16,0.7332434148432804,BERT
0.7954909788325183,16,0.685828694746964,BERT
0.8685578364973803,2,0.6965439304051299,BERT
0.8428853970107886,8,0.7327826789407267,BERT
0.8106075569026459,16,0.6992712508172474,BERT
0.8589060686405259,16,0.7336328062168522,BERT
0.8584187920039298,16,0.7336328062168522,BERT
0.8326312167104937,16,0.7162047740104491,BERT
0.90617514038497,16,0.731349309006192,BERT
0.8197849264876694,16,0.6839285391137422,BERT
0.767232091090792,16,0.6842725934049034,BERT
0.892831860709415,16,0.7332434148432804,BERT
0.8609270699703498,16,0.7336328062168522,BERT
0.8505044132969484,16,0.7284000910843782,BERT
0.8859547999483729,16,0.7332640805085437,BERT
0.8712195269510117,16,0.7330818218137439,BERT
0.7861647916836358,16,0.6859790392840617,BERT
0.8529195915991006,16,0.7284000910843782,BERT
0.826928584634669,16,0.7086629773981669,BERT
0.868127250394347,16,0.7332855214944972,BERT
0.8065198038523713,16,0.6992655190738047,BERT
0.8914822927302412,16,0.7332434148432804,BERT
0.9099586785735907,16,0.7332640805085437,BERT
0.8397183452372169,4,0.7318191820369373,BERT
0.872317248259875,2,0.6965439304051299,BERT
0.8566805241995264,16,0.7285685738249319,BERT
0.8224173788674732,16,0.6839285391137422,BERT
0.8606773352391892,16,0.7336328062168522,BERT
0.8814815273517035,16,0.7332640805085437,BERT
0.8365612568195779,16,0.7159600365575551,BERT
0.7954669374227649,8,0.6893666892287491,BERT
0.853290522086536,16,0.7284000910843782,BERT
0.7133115803077446,16,0.6750384285111232,BERT
